trial_num,prime,target,foil1,foil2,condition
1,episodic/Encoding/ListA/cookie.jpg,episodic/Encoding/ListA/rose.jpg,episodic/Encoding/ListA/bottle.jpg,episodic/Encoding/ListA/ring.jpg,D
2,episodic/Encoding/ListA/glasses.jpg,episodic/Encoding/ListA/moon.jpg,episodic/Encoding/ListA/cup.jpg,episodic/Encoding/ListA/earth.jpg,D
3,episodic/Encoding/ListA/belt.jpg,episodic/Encoding/ListA/wallet.jpg,episodic/Encoding/ListA/dog.jpg,episodic/Encoding/ListA/muffin.jpg,E
4,episodic/Encoding/ListA/lamp.jpg,episodic/Encoding/ListA/rake.jpg,episodic/Encoding/ListA/camel.jpg,episodic/Encoding/ListA/sock.jpg,D
5,episodic/Encoding/ListA/camera.jpg,episodic/Encoding/ListA/vulture.jpg,episodic/Encoding/ListA/comb.jpg,episodic/Encoding/ListA/spoon.jpg,D
6,episodic/Encoding/ListA/pizza.jpg,episodic/Encoding/ListA/bone.jpg,episodic/Encoding/ListA/skis.jpg,episodic/Encoding/ListA/zipper.jpg,D
7,episodic/Encoding/ListA/bat.jpg,episodic/Encoding/ListA/yak.jpg,episodic/Encoding/ListA/octopus.jpg,episodic/Encoding/ListA/towel.jpg,D
8,episodic/Encoding/ListA/bottle.jpg,episodic/Encoding/ListA/vacuum.jpg,episodic/Encoding/ListA/carrot.jpg,episodic/Encoding/ListA/strawberry.jpg,E
9,episodic/Encoding/ListA/chair.jpg,episodic/Encoding/ListA/pumpkin.jpg,episodic/Encoding/ListA/saw.jpg,episodic/Encoding/ListA/tie.jpg,D
10,episodic/Encoding/ListA/table.jpg,episodic/Encoding/ListA/turtle.jpg,episodic/Encoding/ListA/panda.jpg,episodic/Encoding/ListA/xylophone.jpg,D
11,episodic/Encoding/ListA/bed.jpg,episodic/Encoding/ListA/xylophone.jpg,episodic/Encoding/ListA/guitar.jpg,episodic/Encoding/ListA/suitcase.jpg,D
12,episodic/Encoding/ListA/panda.jpg,episodic/Encoding/ListA/shorts.jpg,episodic/Encoding/ListA/cheese.jpg,episodic/Encoding/ListA/orange.jpg,D
13,episodic/Encoding/ListA/badger.jpg,episodic/Encoding/ListA/broccoli.jpg,episodic/Encoding/ListA/crocodile.jpg,episodic/Encoding/ListA/phone.jpg,E
14,episodic/Encoding/ListA/celery.jpg,episodic/Encoding/ListA/swan.jpg,episodic/Encoding/ListA/tape.jpg,episodic/Encoding/ListA/mailbox.jpg,D
15,episodic/Encoding/ListA/banana.jpg,episodic/Encoding/ListA/zipper.jpg,episodic/Encoding/ListA/badger.jpg,episodic/Encoding/ListA/rhinoceros.jpg,D
16,episodic/Encoding/ListA/eel.jpg,episodic/Encoding/ListA/orange.jpg,episodic/Encoding/ListA/pizza.jpg,episodic/Encoding/ListA/rake.jpg,D
17,episodic/Encoding/ListA/goldfish.jpg,episodic/Encoding/ListA/kite.jpg,episodic/Encoding/ListA/snail.jpg,episodic/Encoding/ListA/shorts.jpg,D
18,episodic/Encoding/ListA/hat.jpg,episodic/Encoding/ListA/turkey.jpg,episodic/Encoding/ListA/salmon.jpg,episodic/Encoding/ListA/pumpkin.jpg,D
19,episodic/Encoding/ListA/couch.jpg,episodic/Encoding/ListA/strawberry.jpg,episodic/Encoding/ListA/lemon.jpg,episodic/Encoding/ListA/toilet.jpg,E
20,episodic/Encoding/ListA/skis.jpg,episodic/Encoding/ListA/wool.jpg,episodic/Encoding/ListA/cucumber.jpg,episodic/Encoding/ListA/bone.jpg,E
21,episodic/Encoding/ListA/sandal.jpg,episodic/Encoding/ListA/heart.jpg,episodic/Encoding/ListA/table.jpg,episodic/Encoding/ListA/cactus.jpg,E
22,episodic/Encoding/ListA/cheetah.jpg,episodic/Encoding/ListA/sock.jpg,episodic/Encoding/ListA/starfish.jpg,episodic/Encoding/ListA/purse.jpg,E
23,episodic/Encoding/ListA/carrot.jpg,episodic/Encoding/ListA/trumpet.jpg,episodic/Encoding/ListA/corkscrew.jpg,episodic/Encoding/ListA/lock.jpg,E
24,episodic/Encoding/ListA/lion.jpg,episodic/Encoding/ListA/muffin.jpg,episodic/Encoding/ListA/parrot.jpg,episodic/Encoding/ListA/bracelet.jpg,D
25,episodic/Encoding/ListA/lemon.jpg,episodic/Encoding/ListA/mailbox.jpg,episodic/Encoding/ListA/lamp.jpg,episodic/Encoding/ListA/rose.jpg,E
