Time,Trial_Number,Fixation,Fixation_Duration,Question,Dimension,Low_end,High_end,Subject_Response,Reaction_Time
0.06426004006061703,1,ON,2.6521640999708325,--,--,--,--,--,--
2.7164241400314495,1,OFF,--,My thoughts were distracting me from what I was doing.,distraction,not at all: 0,completely: 10,--,--
8.74342414003145,1,OFF,--,--,--,--,--,3.200000000000003,6.027
,,,,,,,,,
8.75200013606809,2,ON,2.2463475939584896,--,--,--,--,--,--
10.99834773002658,2,OFF,--,My thoughts involved future events.,future,not at all: 0,completely: 10,--,--
17.02634773002658,2,OFF,--,--,--,--,--,2.400000000000002,6.028
,,,,,,,,,
17.046313927974552,3,ON,2.3991674300050363,--,--,--,--,--,--
19.445481357979588,3,OFF,--,My thoughts were in the form of:,modality,images: 0,words: 10,--,--
25.465481357979588,3,OFF,--,--,--,--,--,6.799999999999994,6.02
,,,,,,,,,
25.48155076801777,4,ON,2.16869581094943,--,--,--,--,--,--
27.6502465789672,4,OFF,--,My thoughts involved other people.,other,not at all: 0,completely: 10,--,--
33.6672465789672,4,OFF,--,--,--,--,--,1.3000000000000012,6.017
,,,,,,,,,
33.688070656964555,5,ON,2.3230933860177174,--,--,--,--,--,--
36.01116404298227,5,OFF,--,The content of my thoughts was:,emotion,negative: 0,positive: 10,--,--
42.04016404298227,5,OFF,--,--,--,--,--,2.9000000000000026,6.029
,,,,,,,,,
42.05801063601393,6,ON,2.789864439982921,--,--,--,--,--,--
44.84787507599685,6,OFF,--,I was thinking about solutions to problems (or goals).,problem,not at all: 0,completely: 10,--,--
50.87987507599685,6,OFF,--,--,--,--,--,1.5000000000000013,6.032
,,,,,,,,,
50.899840603000484,7,ON,2.936639675986953,--,--,--,--,--,--
53.83648027898744,7,OFF,--,My thoughts were linked to information from:,source,my environment: 0,my memory: 10,--,--
59.868480278987434,7,OFF,--,--,--,--,--,1.6000000000000014,6.032
,,,,,,,,,
59.886274924036115,8,ON,2.4777883159695193,--,--,--,--,--,--
62.364063240005635,8,OFF,--,My thoughts were focused on an external task or activity.,focus,not at all: 0,completely: 10,--,--
68.38806324000564,8,OFF,--,--,--,--,--,2.300000000000002,6.024
,,,,,,,,,
68.40327984804753,9,ON,3.014422311913222,--,--,--,--,--,--
71.41770215996075,9,OFF,--,I was absorbed in the contents of my thoughts.,absorption,not at all: 0,completely: 10,--,--
77.44370215996075,9,OFF,--,--,--,--,--,2.7000000000000024,6.026
,,,,,,,,,
77.46142848499585,10,ON,2.8591519750189036,--,--,--,--,--,--
80.32058046001475,10,OFF,--,My thoughts involved myself.,self,not at all: 0,completely: 10,--,--
86.34858046001476,10,OFF,--,--,--,--,--,7.79999999999999,6.028
,,,,,,,,,
86.36420482001267,11,ON,2.0136017380282283,--,--,--,--,--,--
88.3778065580409,11,OFF,--,My thoughts were intrusive.,intrusiveness,not at all: 0,completely: 10,--,--
94.4048065580409,11,OFF,--,--,--,--,--,3.300000000000003,6.027
,,,,,,,,,
94.42363256507087,12,ON,2.5516292878892273,--,--,--,--,--,--
96.9752618529601,12,OFF,--,My thoughts involved past events.,past,not at all: 0,completely: 10,--,--
102.99126185296011,12,OFF,--,--,--,--,--,2.100000000000002,6.016
,,,,,,,,,
103.01041628001258,13,ON,2.0909165530465543,--,--,--,--,--,--
105.10133283305913,13,OFF,--,My thoughts were:,deliberation,spontaneous: 0,deliberate: 10,--,--
111.13033283305913,13,OFF,--,--,--,--,--,2.500000000000002,6.029
,,,,,,,,,
111.14819380897097,14,ON,2.706726619042456,--,--,--,--,--,--
113.85492042801343,14,OFF,--,My thoughts were detailed and specific.,detail,not at all: 0,completely: 10,--,--
119.89292042801343,14,OFF,--,--,--,--,--,6.099999999999996,6.038
,,,,,,,,,
