trial_num,prime,target,foil1,foil2,prime_target_obj_index,prime_target_subj_index,condition
1,semantic/ListA/egg.jpg,semantic/ListA/oyster.jpg,semantic/ListA/needle.jpg,semantic/ListA/balloon.jpg,0.39262682,medium,D
2,semantic/ListA/rope.jpg,semantic/ListA/ladder.jpg,semantic/ListA/blanket.jpg,semantic/ListA/dynamite.jpg,0.49127808,medium,D
3,semantic/ListA/jar.jpg,semantic/ListA/vase.jpg,semantic/ListA/juice.jpg,semantic/ListA/igloo.jpg,0.90745705,strong,E
4,semantic/ListA/bread.jpg,semantic/ListA/biscuit.jpg,semantic/ListA/dart.jpg,semantic/ListA/fly.jpg,0.94906795,strong,E
5,semantic/ListA/toaster.jpg,semantic/ListA/refrigerator.jpg,semantic/ListA/soap.jpg,semantic/ListA/calculator.jpg,0.4885705,medium,D
6,semantic/ListA/ant.jpg,semantic/ListA/spider.jpg,semantic/ListA/sponge.jpg,semantic/ListA/mop.jpg,0.72511834,strong,E
7,semantic/ListA/buffalo.jpg,semantic/ListA/goat.jpg,semantic/ListA/lollipop.jpg,semantic/ListA/helmet.jpg,0.73946404,strong,E
8,semantic/ListA/stick.jpg,semantic/ListA/bow.jpg,semantic/ListA/tissue.jpg,semantic/ListA/trap.jpg,0.80226904,strong,E
9,semantic/ListA/fries.jpg,semantic/ListA/pretzel.jpg,semantic/ListA/pear.jpg,semantic/ListA/blender.jpg,0.48439157,medium,D
10,semantic/ListA/faucet.jpg,semantic/ListA/hose.jpg,semantic/ListA/knife.jpg,semantic/ListA/thermometer.jpg,0.39054054,medium,D
11,semantic/ListA/apple.jpg,semantic/ListA/peach.jpg,semantic/ListA/computer.jpg,semantic/ListA/sloth.jpg,0.80211127,strong,E
12,semantic/ListA/puppy.jpg,semantic/ListA/kitten.jpg,semantic/ListA/marker.jpg,semantic/ListA/cauliflower.jpg,0.81910866,strong,E
13,semantic/ListA/mug.jpg,semantic/ListA/goblet.jpg,semantic/ListA/wok.jpg,semantic/ListA/pebbles.jpg,0.5976379,medium,D
14,semantic/ListA/asparagus.jpg,semantic/ListA/avocado.jpg,semantic/ListA/bus.jpg,semantic/ListA/fan.jpg,0.847801,strong,E
15,semantic/ListA/giraffe.jpg,semantic/ListA/centipede.jpg,semantic/ListA/kiwi.jpg,semantic/ListA/skate.jpg,0.36831602,medium,D
