trial_num,stimulus_1,stimulus_2,stimulus_3,condition,prime,target,foil1,foil2
1,spatial/ListA/bacon.jpg,spatial/ListA/zucchini.jpg,spatial/ListA/chessboard.jpg,E,spatial/ListA/prime1.png,spatial/ListA/target1.png,spatial/ListA/foil1_1.png,spatial/ListA/foil1_2.png
2,spatial/ListA/barbecue.jpg,spatial/ListA/waffles.jpg,spatial/ListA/bicycle.jpg,D,spatial/ListA/prime2.png,spatial/ListA/target2.png,spatial/ListA/foil2_1.png,spatial/ListA/foil2_2.png
3,spatial/ListA/basket.jpg,spatial/ListA/toothbrush.jpg,spatial/ListA/blocks.jpg,E,spatial/ListA/prime3.png,spatial/ListA/target3.png,spatial/ListA/foil3_1.png,spatial/ListA/foil3_2.png
4,spatial/ListA/bricks.jpg,spatial/ListA/tire.jpg,spatial/ListA/bucket.jpg,D,spatial/ListA/prime4.png,spatial/ListA/target4.png,spatial/ListA/foil4_1.png,spatial/ListA/foil4_2.png
5,spatial/ListA/candle.jpg,spatial/ListA/watch.jpg,spatial/ListA/coat.jpg,D,spatial/ListA/prime5.png,spatial/ListA/target5.png,spatial/ListA/foil5_1.png,spatial/ListA/foil5_2.png
6,spatial/ListA/chocolate.jpg,spatial/ListA/saxophone.jpg,spatial/ListA/corn.jpg,E,spatial/ListA/prime6.png,spatial/ListA/target6.png,spatial/ListA/foil6_1.png,spatial/ListA/foil6_2.png
7,spatial/ListA/clarinet.jpg,spatial/ListA/rowboat.jpg,spatial/ListA/dagger.jpg,D,spatial/ListA/prime7.png,spatial/ListA/target7.png,spatial/ListA/foil7_1.png,spatial/ListA/foil7_2.png
8,spatial/ListA/container.jpg,spatial/ListA/rack.jpg,spatial/ListA/desk.jpg,E,spatial/ListA/prime8.png,spatial/ListA/target8.png,spatial/ListA/foil8_1.png,spatial/ListA/foil8_2.png
9,spatial/ListA/cotton.jpg,spatial/ListA/quiver.jpg,spatial/ListA/doll.jpg,D,spatial/ListA/prime9.png,spatial/ListA/target9.png,spatial/ListA/foil9_1.png,spatial/ListA/foil9_2.png
10,spatial/ListA/dinosaur.jpg,spatial/ListA/racket.jpg,spatial/ListA/dumbbell.jpg,E,spatial/ListA/prime10.png,spatial/ListA/target10.png,spatial/ListA/foil10_1.png,spatial/ListA/foil10_2.png
11,spatial/ListA/engine.jpg,spatial/ListA/robin.jpg,spatial/ListA/ferret.jpg,E,spatial/ListA/prime11.png,spatial/ListA/target11.png,spatial/ListA/foil11_1.png,spatial/ListA/foil11_2.png
