region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15
Background+FreeSurfer_Defined_Medial_Wall,8092.95122772404,8249.42297016355,8332.9205724412,8475.33043680757,8762.41468739307,9104.73362992879,9423.24581424811,9638.83910309022,9729.3454601628,9829.4988481231,9961.14018074046,10114.1504614401,10239.0796778105,10303.7171227173,10273.0507283343
7Networks_LH_Vis_1,18285.6981614887,18196.6117253272,17895.5561408298,18310.877657937,19474.4738190371,21184.9369833809,22819.924806047,23739.1161786642,23127.3899909115,22181.0657064873,21580.6144516663,21234.9163578228,21006.2904814017,20932.2973894212,20334.5006043168
7Networks_LH_Vis_2,19160.1345688393,19232.149919817,19284.9059809242,20067.6948361552,21516.1098181786,23353.6243505482,25176.2513704046,26140.0489441656,25375.115601314,24114.802177861,23191.6351102574,22545.2012856233,22115.4768783507,21866.8137736247,20996.7861030292
7Networks_LH_Vis_3,19503.952673493,19304.0913478666,18914.3319152191,19229.5016572695,20304.2043781114,22064.0147086713,23787.5326749425,24894.1787070674,24008.5621677023,22934.0137168133,22514.8078663524,22237.4920082736,22093.1445441454,21776.410916917,20784.2773618648
7Networks_LH_Vis_4,19156.612247318,19547.1225083956,19773.389885877,20736.7046851269,22290.4493390042,24283.4562244948,26201.6934484777,27153.9308627972,26266.2880076454,24853.0067929306,23667.9852342726,22858.8836357304,22482.2500977113,22226.1187547935,21307.371725597
7Networks_LH_Vis_5,18659.8645147256,18851.6506437241,18999.2651355515,19596.8313681105,20290.562950273,21228.0187507757,22444.6870696621,23133.3402312903,22531.5903905827,21383.7637334845,20396.4774953148,19954.890104313,20035.6268852101,19896.6570529816,18839.7134708228
7Networks_LH_Vis_6,16939.2518853371,16784.105763784,16737.1995804199,17274.7921677377,18114.6044697129,19176.4931749846,20106.9960410704,20584.307894067,20168.5665425377,19778.5076835418,19661.2077611642,19547.1022312855,19456.2934931765,19360.1012660564,18697.9551553335
7Networks_LH_Vis_7,19499.4338874914,19868.9305623473,20632.1564194842,21648.081879044,21946.9063327468,22309.225373718,23451.3270477747,24097.1219633676,23540.6691233253,22444.4878692442,21271.5579012547,20537.1639752195,20503.2618484215,20298.4764690094,18876.9213716078
7Networks_LH_Vis_8,19029.6169960247,18649.2923422842,18310.3334781316,18592.0722416664,19592.8357135043,21120.6021544347,22582.5256235438,23565.084233918,22698.4008778322,21710.7784043555,21258.1849883104,20995.3238418604,20873.3456996278,20535.5340177247,19574.2439676895
7Networks_LH_Vis_9,18481.5505069035,18573.0427836235,18576.8589534178,19162.7577281186,20130.0121421932,21499.0237408228,22815.3978683669,23426.1680839037,22919.7477564198,21795.696481167,20626.8028225093,19782.5074873035,19481.0470432515,19319.1421244907,18413.7141665401
7Networks_LH_Vis_10,19090.2118353621,19426.0690267314,20017.7879680907,21033.1018220882,21494.3792123328,22351.6158622962,23712.27489918,24620.9911819468,23924.9264832224,22575.2598234551,21280.5464388106,20460.3382127093,20284.608858574,20166.1767643888,19216.8468126346
7Networks_LH_Vis_11,18479.5289492742,18353.851423228,18192.2854447302,18925.7913327699,20385.8179317167,22223.1273094308,23743.2013388879,24513.8278923359,23822.6263958041,22532.16660532,21707.0970693479,21257.055425053,21015.8210420017,20917.4700900109,20147.7657466242
7Networks_LH_Vis_12,18194.4052019568,18385.9679606789,18361.1797729644,19038.3837350625,20350.3400876207,21789.0916083254,22820.5137303598,23321.0783647912,22898.8345986708,22023.3790278596,21007.9126124144,20238.352210752,19607.2114682028,19329.065035212,18812.3474192695
7Networks_LH_Vis_13,18461.786316105,18823.4161869972,18941.5742582301,19745.1338786705,21186.9623983742,22876.6905731905,24282.1994541329,24785.8889898934,24269.0714582408,23266.8913372412,22202.6069940337,21339.9373175283,20804.6779884845,20611.4831540672,19816.713017318
7Networks_LH_Vis_14,17665.2933063012,17550.9630883563,17341.0586210613,17979.0332857218,19372.3804262694,21348.3231989182,23007.2540049762,23802.8984397538,23248.0530284953,22099.113682949,21139.9544864136,20530.1989840635,20298.1965092008,20154.1626875104,19233.8176742965
7Networks_LH_SomMot_1,17920.9756352989,17822.3201403686,17369.9777831747,17687.3691283092,18640.2727619363,19804.9162078621,20730.9033580092,21264.3816551165,20841.703937504,20156.618527927,19705.7381558057,19342.4381069486,19052.8730911617,19082.9828387553,18693.685491773
7Networks_LH_SomMot_2,18136.3081757193,18160.4424752362,18060.4102936766,18566.7774914964,19482.2192961136,20468.2131701744,21342.7808397619,21764.210992649,21470.3231507252,20826.6813403207,20010.2512227523,19219.2770153364,18740.5118212397,18650.4531407778,18272.6480680904
7Networks_LH_SomMot_3,16088.0465686425,16119.3129641945,15711.6683624763,15948.8436074758,16776.082476006,17881.2845276184,18834.7350917344,19272.4172778535,18811.5392073586,18006.9225182629,17402.4842707251,16972.40511834,16783.6590428988,16887.0434043454,16467.0322825191
7Networks_LH_SomMot_4,18351.5508185807,18439.7493426932,17940.7378631953,18135.1230648758,18914.9521982668,20138.5022179209,21270.6910606607,21780.9301476523,21390.7345281458,20749.2282259046,20273.9905846611,19790.0031195176,19531.7474197758,19583.0814791398,19179.2910270066
7Networks_LH_SomMot_5,18349.6314819026,18128.0697641654,17421.860556049,17598.0141030892,18452.4069026198,19545.6925171032,20354.4821815032,20618.5324221247,20242.0362874983,19596.1873590029,19111.9931186105,18793.9612538993,18760.1422869656,19047.0494672506,18743.8220593323
7Networks_LH_SomMot_6,17031.7202248388,17446.6292703355,17608.2895869121,18276.904369548,19309.1482318731,20502.811945806,21464.5818731373,21817.5863099878,21467.3259028122,20846.2963699664,20115.630693939,19488.1853789638,19118.5864845538,19038.9781260658,18641.583317826
7Networks_LH_SomMot_7,16485.6430998859,16889.5486801339,17048.9403241445,17546.3971725073,18384.8989449797,19246.0957871222,20012.4901268364,20237.7969900751,19867.3318676549,19286.6055287346,18697.2659706693,18086.2361785625,17604.6248320849,17303.9513919572,16662.1580628885
7Networks_LH_SomMot_8,16786.5615258755,16638.8975249535,16534.8831409616,16915.9080559376,17583.7768007222,18513.1175660852,19286.4702188602,19718.2407492973,19486.9297295959,19060.628786126,18780.0341636757,18576.6268253808,18370.0129336863,17913.7680140935,17093.7195178483
7Networks_LH_SomMot_9,17471.8746304148,17531.7984643526,17288.7244484488,17802.3991015244,18843.686797853,19952.2605966806,20868.328760993,21188.3051641599,20847.1256840612,20374.1035867745,19946.2956290772,19436.5782413568,19163.4498028516,19408.7687779513,19090.5485674421
7Networks_LH_SomMot_10,16738.4172220815,17417.8441695772,17856.7461580576,18543.645524048,19483.8285389845,20495.013703968,21317.2639692031,21693.7295570233,21312.6665820981,20645.0198207874,19908.9785688812,19099.2101630724,18414.5176889608,18087.4563455384,17639.5630682742
7Networks_LH_SomMot_11,16978.1142576444,16886.1526125759,16709.4039237032,17353.2931711227,18569.0107933834,19803.0331376799,20781.3605894235,21223.6461192301,20937.3172097958,20307.4876157061,19708.1019841684,19239.5644398533,19023.4702751329,18925.6465733912,18258.7450343042
7Networks_LH_SomMot_12,17154.7776971892,17477.0592080675,17591.8886592447,17981.0247492289,18475.27795281,19126.8784860585,19668.2862086973,19957.3200215491,19545.7229768697,19093.3364750352,18918.7154192327,18731.6321846208,18275.4069135237,17656.5609938699,16955.0355796923
7Networks_LH_SomMot_13,17195.6486769485,17456.8287205216,17491.8345867954,18131.4705409692,19144.0406557718,20439.974743475,21492.7824949229,21820.3375497113,21547.2844887559,21094.1115323901,20621.0847327539,20037.9690167194,19661.8924623848,19644.7169365177,19068.1068664359
7Networks_LH_SomMot_14,16984.561554944,16789.5014724538,16634.9792667884,17105.6388088846,17823.8283486655,18740.0100808969,19652.830042604,20040.2379849926,19657.015237002,19214.3844992018,19176.6699435155,18961.1409360583,18552.5261042415,18037.0086972382,17366.2912523323
7Networks_LH_SomMot_15,17966.4979549214,18367.0270071164,18411.3479656963,18837.052274408,19674.1864170286,20689.0359692834,21455.402604982,21787.6783377133,21408.2111905333,20866.8170806457,20380.0389193143,20032.8710824094,19679.9977167986,19278.0155737389,18630.9216177101
7Networks_LH_SomMot_16,15694.9297542466,16585.3273313417,17004.2306766231,17581.8561250765,18532.9195603024,19521.9628211634,20253.3827256099,20551.7619882727,20195.1423731331,19562.4799980697,18915.815871109,18277.2544923232,17806.317862327,17461.031803508,16913.4871452388
7Networks_LH_DorsAttn_Post_1,18381.2073112474,18105.1143623658,17633.9942696056,17915.0788516113,18878.804718289,20445.6722306515,22032.6443651958,22923.3649238285,22260.4022067981,21469.6787934658,21134.8127502263,20899.3125173627,20768.8121061527,20539.4018724057,19815.9026733626
7Networks_LH_DorsAttn_Post_2,19560.0637301609,19076.5421115334,18533.9321139602,18879.0525232335,20023.5230276847,21775.5600169217,23585.6546137361,24941.9646071586,23848.1913057135,22842.4186638984,22640.4772064494,22572.1639828986,22488.0197993954,22065.28941622,21304.0862495882
7Networks_LH_DorsAttn_Post_3,17153.8653810531,17062.6457237794,17038.0355765206,17554.8373302861,18658.9698190815,20105.7839817773,21317.0874597882,21851.748226636,21492.5073868813,20708.9406638594,19864.3045167001,19184.6722548466,19018.6868378047,18902.745142432,17959.3244927382
7Networks_LH_DorsAttn_Post_4,17840.6671332112,17714.5043912697,17529.3662148299,17973.3161390705,18895.2346339929,20048.5917807649,21055.1895434968,21518.2559363445,21344.6210949634,20816.2986829878,20236.4179210308,19736.1005922681,19595.4451096129,19596.5890981782,19057.2040174122
7Networks_LH_DorsAttn_Post_5,16260.8310593667,16038.0243272876,15960.1918568675,16406.5356559087,17310.0441185426,18308.7621257537,19137.1665071374,19533.4052431161,19229.3836430031,18727.6118664152,18161.1857613139,17706.0779242669,17595.7687301782,17549.1302194288,16864.8884955112
7Networks_LH_DorsAttn_Post_6,15466.4933257881,15611.0769174994,15598.5966405894,16159.4151910511,17082.8299606508,18223.3844390339,18906.962256708,19258.1094750413,18999.7904681682,18439.6669372937,17852.8620528243,17470.7240913648,17505.6183914939,17468.2214898285,16868.0212238246
7Networks_LH_DorsAttn_Post_7,18790.5746089205,19006.0633093928,19021.1869488633,19870.0396870169,21399.1017820036,23225.3896001223,24500.8348356235,25062.2235604835,24573.2716426161,23503.1374190326,22567.0189257766,22164.4170138544,22105.334287346,21802.8298908918,20751.7739073847
7Networks_LH_DorsAttn_Post_8,17154.5444747811,17156.5735010105,17171.2718788436,17986.4085729506,19204.5114025596,20510.5935486443,21440.637837272,21949.0582029872,21591.3354711824,20824.322015887,20106.8747590553,19686.3233099667,19705.7364708609,19697.8360878943,18962.9329456947
7Networks_LH_DorsAttn_Post_9,18585.2092650955,18847.0040243957,19137.4281414007,19797.3863128277,20905.1748842718,22162.7808984035,23231.4159693974,23803.8944439353,23393.4480298002,22649.7126392884,21972.6810114957,21560.1861416252,21464.1391075687,21377.73058507,20840.0377986919
7Networks_LH_DorsAttn_Post_10,17777.9724003506,17943.0105830663,17838.9316912496,18369.9294693266,19433.1380379128,20739.164161658,21757.8221640542,22131.3032991673,21754.0824379206,21126.8051489903,20518.5842685785,20120.2731712378,20134.6598596392,20098.8246034322,19426.1982224835
7Networks_LH_DorsAttn_FEF_1,17130.8745470438,16424.098279651,16076.6435142773,16198.7106854305,16638.7266399558,17188.9617712872,17749.2771027335,18016.2444462641,17693.3924499937,17401.0986903148,17231.3324220276,16897.1737555117,16543.3257396763,16234.5596619511,15583.0645670643
7Networks_LH_DorsAttn_FEF_2,17110.9182436171,16419.7893127918,16099.1690393434,16250.2232362493,16757.2871161107,17514.2613308625,18220.0754236039,18586.6281708842,18285.2140487148,17931.5209138676,17693.3084748991,17401.9603525101,17139.0918730998,16914.3354892555,16517.2125649422
