region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15
1,16864.3809376623,16257.7724546732,15623.8018936195,15847.7982554633,16792.9218200861,18256.9248526473,19714.8259407064,20348.7654387315,19980.6249419999,19659.442683889,19578.0103279159,19476.3469528733,19490.2775396824,19221.3491369803,18476.9861882924
2,16707.9561739113,16610.9702790541,16551.1126857388,17009.7474323459,17647.6036158672,18565.8295515962,19419.0032093553,19900.5948215907,19590.8217821124,19116.7394391379,18831.3162909728,18717.8960554405,18536.1449926582,17977.8206194819,17127.3933502686
3,19397.5939108626,18984.161088005,18448.8575189009,18872.0877869176,19983.6583485723,21834.2854066187,23793.081250166,25151.4427543859,23941.41025099,23038.2044267871,22926.5443567962,22806.4508961999,22654.3946000277,22378.4822031001,21761.6572884623
4,17797.0646287236,17833.1271243938,18046.4123138296,18502.8758776024,18731.8089868108,19160.5885677988,19524.8663032132,19758.0076265438,19246.7337785944,18851.0616449542,19327.0559488637,19544.0651575816,18828.379200309,17874.6666385877,17089.3895704105
5,17862.5618843615,17861.1044179034,17699.7884878219,18129.5519057651,19141.7503467908,20631.1148140711,22126.4781460346,22871.5604681831,22281.0897386409,21155.4751340168,20332.1506694805,19875.6812172704,19629.9497200723,19460.0846852865,18406.710377198
6,18036.1785186085,17571.9313556155,17401.652380849,17905.1210270806,19015.678955185,20660.2907693708,22125.513164082,22887.1848204169,22292.6081892618,21098.7063387451,20495.1194622403,20176.936228399,20200.9702408873,19984.0513325376,19036.2969093391
7,17296.1700097217,17250.2274591281,17092.4919608945,17626.5136911098,18845.212725046,20064.6759123101,20951.4765660372,21434.4015773641,21128.7020978031,20490.7230368577,19753.2214408973,19289.0732009217,19232.2913633217,19107.0750925581,18371.0454848435
8,18704.4879404049,18583.2478516153,18264.4994601832,18663.3102553625,19498.3927947398,20652.6047748043,21818.1227019565,22355.6822757621,22182.6285584067,21654.1959114676,21108.9580878313,20614.5879486365,20411.9665483428,20361.6713551698,19738.6914351548
9,16348.4278198507,17243.9237550482,17769.7610991556,18278.2356538087,18960.7202442652,19668.626267637,20310.7369346423,20651.9493439198,20360.3191766789,19782.6321225499,19178.1819016655,18734.270710612,18354.9583564823,17586.5767616559,16839.9045576419
10,16519.7725365405,16456.795535886,15849.1102375271,16261.0072996272,17413.5931498972,18803.8197416293,20012.7343956893,20751.5018629412,20002.0874513407,18727.6878677303,18078.5736945817,17639.0159705011,17307.1174321119,17440.2855751127,16976.9922751278
