region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15
L_V1_ROI,19258.5402276265,19640.2232259987,20375.5520415288,21423.1467811316,21723.2285017502,22262.5754527663,23511.7990927284,24323.3871299361,23685.3830270495,22432.0550410418,21154.1204954411,20415.4580988259,20406.8221799382,20259.8432120169,18982.8367053502
L_MST_ROI,18782.9928645907,18448.7376827595,18375.3201019162,18552.0497616901,19197.5354127782,20514.2479358612,21791.1633683292,22757.0566092624,21994.8776092031,21114.5790739056,20568.176584398,20242.9586995482,20135.5047038469,19755.4644637676,18560.2121581162
L_V6_ROI,17177.8619831922,17642.5057560333,17943.3504245067,18886.7216236457,20314.206517769,21826.6883311611,22810.0499948796,23262.7452448232,22831.0866686577,22142.1846809384,21254.2930249216,20577.4786440231,19966.9289126684,19703.5794532698,19180.0493604096
L_V2_ROI,18992.6750433133,19230.2656032964,19328.784479934,20005.8259198074,21097.5012080834,22457.0557407422,23769.802279919,24402.7213750432,23813.3426316742,22665.7981452394,21534.3835973481,20709.7227042662,20334.04933862,20077.5855328387,19233.7337620732
L_V3_ROI,18830.9317366662,19123.1041176903,19203.6468608386,19923.3384369041,21279.2089517954,22991.1356891938,24528.987174516,25179.1105530762,24559.842728583,23424.4294462144,22349.4413615386,21587.8310380474,21175.9038900968,21008.0037286487,20154.5956433445
L_V4_ROI,18604.690368099,18644.3612817798,18590.0668973909,19325.1404946073,20702.8493197294,22578.7872027618,24375.0024950654,25207.5509311282,24560.0793329149,23275.7843359915,22277.9789685707,21570.7139149626,21195.0904699213,20975.102477763,20189.6472054069
L_V8_ROI,18820.1938678641,18929.3903638611,19116.9840735167,19956.2372818497,21556.8252108273,23528.9891912633,25425.9291559941,26338.2834019774,25409.3920596777,24241.719287158,23661.6501241199,23238.0010780241,22851.3368301365,22787.4064380647,21766.8697031247
L_4_ROI,17307.3991747496,17766.7015544487,17935.2639687742,18361.3687844952,18999.2957608016,19798.189269136,20478.1131976069,20724.801316497,20365.1174791327,19826.1835896237,19382.2058516227,18983.0330770274,18588.0347099857,18109.835867341,17456.0085521353
L_3b_ROI,17061.029560077,17720.0113218423,18077.8672076048,18792.5010051779,19869.2561549206,21017.3018308223,21906.5615202693,22273.7935362645,21911.2704171109,21256.685167888,20488.0535844473,19739.6713950696,19158.4420861378,18848.4620099838,18384.9159520838
L_FEF_ROI,16623.3289021232,16110.3961970936,16020.9355297013,16347.8828541033,17098.5283462906,17807.5280727824,18422.3173538199,18620.6466086962,18274.6864192493,18016.3996982222,17847.630531651,17510.7451976658,17116.1546192368,16765.9140077369,16190.350086467
L_PEF_ROI,16501.0737188615,15965.0817077363,15497.8491676546,15690.0961881587,16388.333225348,17316.7546418051,18025.3312794836,18311.4786780014,18106.892431105,17818.9858653186,17706.6509125864,17541.9097556213,17447.8814729306,17271.3389359634,16842.8290269823
L_55b_ROI,16606.3075765772,16387.6320470728,15959.1700141599,16169.7989883413,16792.8520180054,17629.2137702075,18323.5727693243,18493.4130977231,18221.5494899345,17840.5536489758,17547.9338786916,17304.7750277845,17104.9162302453,17022.7624353809,16673.8902928713
L_V3A_ROI,17506.2014845009,17655.3579920265,17591.7512769382,18309.511286538,19901.5709739159,21943.0803665844,23664.3418075689,24410.5522732353,23950.6361472432,22887.2182412531,21823.4517148733,20950.153667152,20447.6929147488,20353.4416379285,19550.1837806633
L_RSC_ROI,17093.5852712482,17153.0330068926,17137.0606152616,17698.3067033383,18398.4972671959,18964.5148245318,19618.5443246495,20040.0080930437,19800.4087202414,19486.1671507062,19348.5920247381,19198.2807261304,19051.6945716036,18640.3391117048,17917.2040016879
L_POS2_ROI,18640.139899302,18708.1634501092,18801.1728754014,19748.6932613352,21340.0221468399,22962.0362930489,24080.5869234353,24694.3872568128,24204.8800076519,23215.0803548164,22188.9082309618,21530.2949284665,21366.5942430448,21221.2918427617,20355.5150366527
L_V7_ROI,16982.9979717427,16642.0817076361,16411.71863999,16979.8888741107,18243.6172050986,20195.706928081,21612.4790198897,22403.8493931097,21819.4575047979,20699.2889926266,20011.1850478176,19598.4974259836,19572.5759689686,19518.815253141,18667.4716366425
L_IPS1_ROI,18711.9152053284,19073.2716771397,18967.875671596,19586.3898663047,21046.2910811512,22849.8643540322,24257.1524255255,24674.6171060301,24257.2974551267,23439.1926744202,22373.4973374603,21644.2211567029,21304.8135423846,21013.2153025081,19877.0567729591
L_FFC_ROI,18998.6819686679,18914.0500683038,18785.026578937,19446.600361971,20770.7002828224,22667.0568869641,24515.6757884968,25510.5459017463,24763.272908049,23662.8845679702,23116.9111412184,22746.2202829337,22373.1725962042,22125.4623418206,21257.805556216
