region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15
1,17459.1868807021,17647.7412206198,17571.3961814548,18117.5520658566,19224.437397006,20516.2225160546,21515.5334440702,21874.4239316803,21556.2996124087,20984.8754452763,20457.1136741194,20032.2883945457,20040.4303113596,20030.2091890333,19387.0616612068
2,18249.1534307482,17805.8266838874,17186.6815031562,17247.815301587,18116.859663119,19537.6277452204,20890.6629530952,21770.0363191388,21198.036540777,20567.0012549316,20334.9854136506,20278.0220353994,20276.0339825564,20138.0768984632,19473.4911237088
3,19182.5066344197,18791.7406953429,18296.806172211,18634.4762922346,19606.880561627,21181.5936313325,22797.9639255057,23951.0981059747,23039.9370459267,22158.8506565758,21903.0221661927,21748.4596906402,21655.2241457248,21384.4475923413,20703.3200564036
4,17543.8514594962,17145.3735091773,16633.0781406472,16794.3116686619,17558.3485148811,18645.5811295398,19698.1645489097,20094.4085857957,19742.3025871556,19291.3944614947,18915.6927415583,18630.3665115517,18483.1917614862,18429.2132893718,17966.8132000419
5,18795.5296595018,19361.4785899129,19925.0264505954,20905.458914993,21921.2653744391,23259.4934453217,24674.4298255435,25265.9005187223,24708.6493336718,23578.428474842,22412.8812081448,21560.4897510782,21155.7466601169,20782.0523946472,19800.4210514997
6,16321.3917165978,16122.4097199227,15769.9353733721,15644.0916416217,15882.0354061417,16395.6203883549,17230.5298346402,17753.4344769508,17412.510040627,16926.4656265708,16666.3580896556,16622.9614020635,16610.6911286233,16521.8998158693,16141.0904056941
7,17664.6340341677,17909.399877798,17584.0825972911,17976.384926989,18940.5644197491,20262.3729357659,21236.7123182408,21601.2505015247,21268.2363623751,20707.4182165069,20139.8848577116,19696.1015598822,19457.68042218,19656.0243373733,19316.050002054
8,15480.1400909584,14510.134592037,14333.119190779,14755.7055344756,15323.4607083502,15698.0858903582,16126.0857315203,16758.2146318848,16513.36747112,16055.4155953155,15692.7533808276,15685.5068979366,15879.1757472742,15800.1743436216,15243.4410838409
9,16967.6949597578,16854.5145971069,16661.9181117295,16994.1873027396,17614.8374779398,18410.4834892775,19214.3614296165,19586.4833313742,19242.07517717,18851.5153897048,18643.6195793919,18426.1409305647,18120.9057086722,17663.0019990073,17099.2249052256
10,14715.9165689028,14848.5505741581,14981.940333043,15413.6645502896,16174.6672088685,17035.0537905877,17650.4508008714,17929.5659967234,17747.9756288929,17082.6107090868,16430.6968599321,15884.6654175631,15688.7945368372,15627.0669336467,14983.0640639171
11,16505.1731613089,16620.4439452867,16567.6627606931,17262.2675468935,18491.9753229355,19824.7905843417,20760.6923026247,21271.8863281668,20892.6894487716,20214.2934227609,19540.623768858,19196.3358070752,19307.4070358304,19267.0940198544,18543.8294211076
12,19267.0901119041,19317.6073143647,19455.2701364734,20237.2084757678,21760.3445359007,23675.1604446945,25601.9034088026,26687.603718677,25813.1621128077,24674.020841809,24007.991260395,23613.2275833689,23227.0734842431,23016.6215992003,22084.313618754
13,17037.289314326,17112.8361506133,17178.3746848396,17611.4943765527,18326.3384445977,19165.8940940161,19938.1562632718,20257.6775925385,19869.8199535691,19362.0164442651,18953.189297214,18406.1305544292,17852.7917944695,17476.7490703493,16838.6330301
14,16295.4612330936,16192.9202006342,16120.817545366,16583.4950055817,17540.9994506027,18485.4344472296,19113.3232686763,19517.7992447777,19254.27451577,18783.0597413248,18306.3381782219,17909.8884680319,17719.3323735062,17529.2878015936,16861.6763173412
15,17577.5042260461,17487.6797204668,17294.5916641693,17869.8743517348,19062.4000030481,20467.4416151353,21444.0340238931,21997.9122604858,21634.4951970268,20930.8433948694,20184.3640287977,19796.0871579554,19803.8341327789,19710.3943527488,18952.4120900668
16,18366.8374887343,18487.4415746196,18817.1948990095,19767.1112149935,21138.8473439945,22515.0911750011,23467.8106201189,24055.8367935678,23607.6963088185,22764.7851860538,21962.4022734234,21376.7956190736,21155.0721889847,20954.34299948,20270.2545905257
17,17592.0366879817,17600.5398892462,17544.0317247708,17923.0899924098,18863.2823782712,19914.5456990478,20841.2309184695,21235.4127788784,20921.9090664411,20397.0278051913,19903.7499384595,19628.3828048453,19805.8235079293,19832.2969134325,19385.6265954316
