region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15
26,16691.4661041497,17137.2850568065,17153.9954275526,17840.1818719745,18897.7955365785,20203.2750793061,20930.4126462891,21099.2947870045,20838.6728344245,20279.8054488756,19652.2124323553,19316.9348802957,19215.1499705667,19327.0361640845,18798.0050293611
53,17616.5534651548,16954.21124805,16444.4760309295,16450.9898326197,16743.6973777106,17218.1316815242,17708.7562805424,17927.5252869377,17726.2873831711,17445.3126576442,17155.7655569404,16786.0384668028,16364.2942631574,16034.0934876723,15411.4554745496
106,16552.1173108585,16752.2796419776,16272.518879631,16386.1056808413,17182.8966314413,18379.3907381322,19462.0538315514,19956.6677972394,19435.1483935324,18511.6020170933,17837.0738088778,17385.031772571,17286.9338845379,17437.9900175394,16958.4925568429
158,17236.7895025447,16618.7051673742,16152.2839099106,16497.5645025882,17239.8650509761,18366.8931126106,19204.597256173,19603.0697779104,19516.9419243199,19081.68675579,18508.0361785457,18095.6405488609,18003.5355515499,17960.0419068516,17608.847446546
255,16705.6751804236,16150.4817937531,15728.3387152462,15976.0141360845,16719.9746062943,17664.8663821984,18429.4534072506,18720.1990000732,18505.6767218657,18182.2037166832,18008.8492294663,17771.3949758039,17671.6838716033,17520.4891086599,17036.7419550763
2374,20664.4943868143,19898.2050540137,19847.0210558833,20705.8235250454,21859.3315388389,23367.6768509974,25198.7708000018,26326.8701693703,25473.9667682011,24396.6138281992,23844.492871368,23528.7037148393,23299.1616999789,23089.1066330724,22300.1766927702
4626,18955.2351374639,19690.1905835313,19878.4394854071,20358.3159710107,21291.615541501,22468.50611002,23378.9299786922,23618.1726611504,23347.0780726352,22797.4772773309,22052.9278675669,21324.5810371604,20595.9839083063,20059.2174016717,19473.8005654897
4696,18673.0171525908,18630.3340721192,18509.6715434386,19324.2647004023,20952.3006165525,22972.6570557191,24562.6632916597,25269.9227284884,24709.459849903,23644.65298217,22551.0657606529,21664.5571262204,21057.587531873,20708.4151012223,19808.0934669512
6788,16612.8604629637,15933.5030712053,15605.5953500212,15821.8013964602,16411.6705613614,17065.841849317,17625.8592261963,18166.6397630608,17875.0516636469,17288.9798954202,16909.29940977,16844.3906363053,16763.3510653325,16568.4651199584,16240.4984371981
8969,18130.0150166998,18052.7006919073,17749.7540387038,18345.6755336135,19752.2517771113,21460.4027532306,22668.3427191676,23416.8097152536,22873.9927861228,21826.3261058239,21175.1587368497,20772.7057955732,20576.1598323918,20516.042574007,20132.8962852407
9013,18970.7739746114,19128.3944452491,19191.9520841491,20038.0782343796,21338.6291870486,23087.5114034428,24768.148940573,25348.3535619791,24767.4178349283,23560.5824330344,22780.2707097008,22443.1096195041,22647.0008755129,22329.235649286,21334.8447355075
9039,16602.9690386481,16211.7483913952,15979.3154989718,16339.6999586647,16971.7747184394,17924.6465756964,18724.8651063973,19119.0140324951,18918.331219376,18384.8429093122,17885.297704738,17585.6340507893,17632.6773055706,17642.0222436159,17147.4664819989
9066,17619.84887306,17945.8490527644,17234.6940333809,17309.6085983795,17983.1637174007,19110.3294969529,20099.6596162339,20609.5863113875,20264.8501663201,19760.9067372567,19443.9412476703,19149.1700176644,19138.0127951456,19085.6139406019,18815.3167487537
9153,18835.9333953441,19325.1619041553,19774.2811660043,21158.3406796236,23100.8174174757,25794.391783458,28310.2711698993,29865.7108907024,28962.7848969981,27192.2512878817,25630.9211549886,24836.7799983886,24589.8388038066,24523.3736891763,23747.4929588183
11299,16498.8568569354,16143.3756665517,15359.9559249103,15130.3358285658,15406.485463749,16083.1056993794,17185.7543344925,17775.8581329567,17440.2316539764,17007.771600938,16644.8824985763,16508.8156136831,16643.3347843945,16496.2066635023,16006.8770286491
11334,18852.45647881,18708.4371327356,18816.9566549055,19734.6347851315,20704.7617299483,22228.4948159962,23842.2573149761,24596.2503379485,23923.5981642767,23104.0465963131,22685.7989171951,22426.8370402251,22002.4242706741,21596.4199302399,20907.2653406041
11440,15554.0490940114,15768.9909124992,15129.6719022088,15367.656699641,15962.383821217,16492.3310927528,17451.9867314083,18620.7649303871,18556.1545643724,18326.8205268397,18003.6383780738,17668.7511213072,17377.7128038256,17076.3200800327,16733.5126779189
13577,15515.5480480654,15409.5145136892,15067.0647407786,15264.586719335,15771.8621662316,16599.5955640404,17333.8133099418,17558.5838922272,17377.9561243555,17041.1208674365,16859.9533496878,16619.4620621218,16272.6177603946,15968.8145911904,15544.7557276815
