region_names,moments_1,moments_2,moments_3,moments_4
L_V1_ROI,19925.4204415755,3618.38096046395,-1.51381105322284,4.61514706516823
L_MST_ROI,19360.4725158849,2068.20492874962,-1.13024177819428,4.36504033365826
L_V6_ROI,19083.5147859926,3443.0061798863,-1.16016320892476,3.68787588925485
L_V2_ROI,19800.3977056877,3438.38239163575,-1.24853617861331,4.04940071424188
L_V3_ROI,20182.6509154751,3770.74320469406,-1.14574915885886,3.70437550179885
L_V4_ROI,20043.5905901129,3675.32756850253,-1.04848245480159,3.56301018490307
L_V8_ROI,21051.2082576914,3867.54200259244,-0.862626272927186,3.00905667367206
L_4_ROI,17854.3973801814,2770.90718575107,-1.72642030728328,5.28259840151065
L_3b_ROI,18229.4266659681,3502.0981280598,-1.34815751384467,4.01200773589705
L_FEF_ROI,16181.7530897209,2013.27090017209,-1.75084950474512,5.76774570418879
L_PEF_ROI,16364.4911159582,1922.89806797303,-2.01656156545064,6.88809617227814
L_55b_ROI,16252.548210575,2249.6587559738,-1.95668577634527,6.15373320941833
L_V3A_ROI,19248.5147824048,3988.56337988794,-1.08683352469842,3.62612242550796
L_RSC_ROI,17979.1569326616,2356.12778388327,-1.59988745787295,4.92987867241635
L_POS2_ROI,20194.2937609897,3607.05404328274,-1.18562644400784,3.89772651522078
L_V7_ROI,18058.0118623278,3248.93470345445,-1.18391774391476,4.00601788529956
L_IPS1_ROI,20305.5079705695,3381.3596568375,-1.21103646484607,4.0850209792688
L_FFC_ROI,20730.8045245926,3316.26212634617,-0.980042934463901,3.39413479822616
L_V3B_ROI,18920.5013784677,3566.64670424902,-1.02699477900475,3.72306416511463
L_LO1_ROI,19672.8820178279,3598.79204067012,-1.21722455907108,4.02701223342396
L_LO2_ROI,20107.7017852072,3067.81538947154,-1.15218639475598,3.97762055767369
L_PIT_ROI,19750.603257201,3089.83810471528,-1.42562592399888,4.63896128963105
L_MT_ROI,19472.942206384,2769.0982174605,-1.28069191788556,4.20403173153873
L_A1_ROI,17855.3823991876,3651.07957958274,-1.61340485573242,4.60784087607626
L_PSL_ROI,19446.2620739858,2983.81406162476,-1.3169881929503,4.32726695689797
L_SFL_ROI,16769.5085985537,2530.94080461549,-1.95097780088616,6.00209828936755
L_PCV_ROI,18596.4393802146,2618.71051388715,-1.34349629529728,4.37125976885619
L_STV_ROI,19617.500285365,2987.25118931287,-1.21729047098077,4.00843581520751
L_7Pm_ROI,20918.0635647087,3430.67249178527,-1.16833527436553,3.8140406586183
L_7m_ROI,19707.824341895,3345.98913149236,-1.17031984757257,3.78797024079741
