region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15,intensity_at_surface_16
17Networks_LH_VisCent_ExStr_1,12713.2991144625,16108.4149933832,18091.3685146149,18773.2575627652,19213.5835329375,20019.4680489029,21216.9511067896,22630.8422791589,24024.7889663516,25022.9808864637,25216.2761702861,24790.442898225,24215.3530985305,23739.1694342773,23253.9480326692,22392.6497031769
17Networks_LH_VisCent_ExStr_2,12476.9435545096,15670.519466376,17927.7130748093,18863.7522118556,19285.708771433,19913.7798074037,20918.5392894596,22321.0826729065,23840.7310080452,25166.2399214893,25877.8159317363,25550.3727507313,24582.4604840471,23532.4344276325,22746.7467397656,21787.5627794984
17Networks_LH_VisCent_ExStr_3,11489.2082508904,14932.4101363637,17514.9486394509,18515.3954749191,18844.1751075837,19328.1156252792,20207.2456820833,21440.8454690042,22852.8672097578,23943.1091824874,24293.8340806698,23820.1348647515,22927.1023616535,22140.1470905826,21592.7453511388,20807.6740869303
17Networks_LH_VisCent_ExStr_4,11739.5089031554,15124.1668744425,17821.0837281933,19092.0913246115,19661.8299261278,20204.4315906733,21030.2409516052,22101.9189222231,23334.3793266855,24418.772914199,24904.4407582498,24655.7433201825,23729.6693401497,22571.6627578718,21675.4058154573,20590.5217124872
17Networks_LH_VisCent_ExStr_5,10646.9815855425,14187.3043329053,16848.0233190077,18133.0109991733,18619.475765845,19082.9975453189,19714.553741639,20365.0529162086,21004.8755055387,21616.9612537983,22070.6084192802,22068.4666877287,21412.0160506616,20455.2583155723,19962.1533281656,19283.2242748741
17Networks_LH_VisCent_ExStr_6,11109.9171104482,14587.598522962,17285.3210012339,18283.1380277892,18612.1637693624,19078.1109647142,19925.315630846,21133.7160737194,22394.9028685324,23358.3997411281,23661.2094450309,23235.365310374,22437.1894350942,21698.7755469274,21143.7946012078,20398.6644379177
17Networks_LH_VisCent_ExStr_7,10433.8507537765,14061.8062966128,17157.4773965483,18746.0414936269,19399.6594522498,19985.9882696119,20606.2078131437,21056.8245620703,21334.9829438104,21679.4294349024,22119.8693820252,22319.2983016409,21736.1431124702,20428.6801842704,19614.2819261414,18822.1358974702
17Networks_LH_VisCent_ExStr_8,12792.1709568202,16279.3817646265,18143.8392254731,18540.2776500173,18618.0224175577,18966.611483399,19718.9829671429,20786.6768682892,21832.7534917612,22564.0659915444,22667.6542442841,22211.5993153833,21613.415825382,21137.3829905017,20625.0034144057,19692.6627586089
17Networks_LH_VisCent_ExStr_9,10451.4255416512,13537.4821700306,16420.8371955913,17819.8358959054,18329.9872231096,18826.9733647352,19600.85262038,20589.9088923896,21651.0085282803,22533.6166037321,22981.2877770152,22756.8985271953,21883.9517077759,20729.7565886515,19886.7138521758,18986.6906399307
17Networks_LH_VisCent_ExStr_10,10367.1599008936,14079.7843798204,17199.2804446716,18210.0412336991,18417.350947638,18964.4253005613,20034.7037614205,21432.1258509275,22829.4812141056,23756.4166241992,23846.5014884062,23034.1696435316,21998.5579840698,21229.4148379286,20899.8576932326,20224.6270619327
17Networks_LH_VisCent_ExStr_11,9794.08487192535,13240.5056702003,16284.14591541,17924.9088068106,18534.1952772312,19001.2312924486,19800.8205107559,20930.61282874,22085.5326160406,22960.1698815978,23275.6920497463,22802.7224086974,21740.9118645061,20674.9971327855,20001.1514107142,19156.5055506419
17Networks_LH_VisCent_ExStr_12,9533.45095063187,13136.1293725464,16165.3348107235,17088.1109099078,17144.8648580634,17453.3463790412,18370.4870443252,19878.705397195,21511.1288194793,22678.1361466755,22999.1522611792,22446.2990891646,21468.4935295909,20577.6400354956,20127.9829113183,19272.4422484489
17Networks_LH_VisPeri_ExStrSup_1,11923.6941089936,14903.7505648428,17023.3545834866,17838.5962389232,18068.7727308762,18428.5484986452,19235.2239949569,20418.9543421592,21712.2899398467,22731.4444608346,23101.3793497506,22681.0497221795,21900.9334389072,21256.4939590822,20869.2144494003,20214.70333211
17Networks_LH_VisPeri_ExStrSup_2,11490.3945432839,14734.6086146023,17498.6322652034,18847.7989726428,19427.5957228317,20082.4098108697,21205.2535317894,22780.5777843562,24478.5205585907,26027.139479962,26614.0658205103,26028.8082180427,24915.715959121,23901.1183770029,23237.1261646188,22271.2377637672
17Networks_LH_VisPeri_ExStrSup_3,11075.313675766,14622.5417872042,17360.2905370188,18835.56848863,19582.8312722204,20340.1982172705,21292.7280971782,22474.9843922553,23759.3317222872,24884.8657296263,25444.2728644275,25187.3075333165,24187.9353070852,22917.8549054621,22042.7770119522,20945.746627374
17Networks_LH_VisPeri_ExStrSup_4,11448.0808830838,12938.4967818556,14612.3034721493,15908.8004249565,16680.076475085,17150.281127561,17609.8500926529,18183.7963567576,18750.7422803106,19037.6616712953,19138.8428509133,19096.914017207,18961.157802613,18801.1195972152,18590.4338984568,17975.0544409846
17Networks_LH_VisPeri_ExStrSup_5,10345.2915252196,13167.8257621663,15962.3812349789,17779.1344713851,18750.7476398394,19479.2888707843,20385.1579935836,21540.2258273149,22776.263072078,23900.8650390196,24569.3168303061,24371.3783146724,23649.7773572104,22666.3162912694,21730.929837513,20614.2893778123
17Networks_LH_VisPeri_ExStrSup_6,10281.0763053318,14061.7822583717,17300.7935419946,18995.5544134695,19942.4497997997,20815.5760721861,21623.9976724082,22155.8097422547,22516.7399164496,22974.6909843335,23565.7553141949,23814.2177614659,23194.8819978127,21918.3802887337,20951.2362808489,19874.6294721491
17Networks_LH_VisPeri_ExStrSup_7,9552.50977097741,13375.7689230838,16779.4126528634,18684.5859377542,19657.3728811132,20491.0093558743,21349.6899341777,22053.7018230574,22572.174166969,23137.7311243355,23776.9731368638,24084.0239907256,23436.0038786363,21884.4785723933,20765.6083875511,19944.0776650011
17Networks_LH_VisPeri_ExStrSup_8,10040.1688240422,13606.0561499657,16821.8569507323,18535.0494499419,19272.1620447958,19821.3375682407,20480.4200461945,21097.997613794,21538.0131502861,21896.0553203711,22272.5267293732,22443.6569458039,21929.3917302631,20755.3967059105,19713.0764260523,18788.2133281589
17Networks_LH_VisPeri_ExStrSup_9,10640.4490401422,13976.7994588834,16740.9913787013,18492.1253089793,19436.0651139838,20172.9042916146,21059.3189490835,22171.3314687411,23364.0802194258,24394.602052327,24907.2100598464,24698.410162016,23827.4835919976,22724.8760415709,21780.130118025,20758.0558822214
17Networks_LH_VisPeri_ExStrSup_10,10220.775672906,13620.730434805,16238.3579341311,17563.8118251083,18202.0009446185,18749.6011443845,19514.2270444406,20450.2526175095,21457.2560716569,22252.3007196579,22624.1104717997,22414.6900322302,21618.3848275059,20554.3992627693,19758.3131583488,19002.2759458238
17Networks_LH_VisPeri_ExStrSup_11,9280.71960347682,12940.0980600446,16112.336305276,17338.752047378,17552.2093119103,17981.2847413242,18967.8718985098,20316.6571040297,21691.4405286061,22674.9279117429,22909.1576538415,22368.250181968,21385.3822720046,20528.2157434155,20074.4181815185,19447.502293623
17Networks_LH_VisPeri_ExStrSup_12,10682.1510867821,14083.8014036652,16685.5410048738,17926.5240514763,18656.7178156297,19473.3376742478,20622.7347646498,21919.9024749438,23070.9880605398,23811.3526671901,24033.2776746699,23729.6146889437,22954.039992517,21997.2943055241,21269.8856020862,20445.5521655996
17Networks_LH_SomMotA_1,9970.74318711283,12709.3850670639,15114.5134245026,16298.402503156,16591.8854186773,16756.9926530984,17113.1253682989,17666.8453578406,18260.1598505596,18757.1868210224,18936.9592364596,18920.9614954842,18791.9194091025,18439.357449269,17938.2746339714,17107.7627143179
17Networks_LH_SomMotA_2,9834.3614955954,12766.2439305221,15512.4678092272,16728.7012202526,17313.3763563323,17787.0332879405,18348.608343078,18947.2578811348,19406.7283069909,19666.1908653782,19588.6317876536,19121.6860004198,18539.6922211365,17946.8612817329,17290.8249476087,16380.146479021
17Networks_LH_SomMotA_3,9073.2246739602,12215.2528642405,15318.806688582,17070.54833519,17937.2150178017,18769.5315285735,19814.6368174448,20892.3149759768,21714.6128341741,22085.5160788106,22053.2914700722,21595.5098850247,20828.9186269118,19902.0311006352,19283.3992283508,18709.0939053235
17Networks_LH_SomMotA_4,9218.22457593643,12959.6898257524,16246.4927799965,17533.1449603339,17774.4953990867,18138.2753600656,18884.3281280208,19863.3870043556,20619.548536883,20968.3926945624,20936.397561376,20599.4675442701,20026.4484934093,19493.7706693849,19427.7268401295,19233.0443088066
17Networks_LH_SomMotA_5,9762.30318479279,12926.6974216359,15138.0273578264,16423.2591703426,17221.4058213097,17869.6178605755,18554.7658442683,19232.5858365218,19732.4826235567,19941.0365258957,19839.1028297331,19470.3630537372,18854.4921052883,18099.8153861253,17383.1921068094,16723.4289149206
