region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15,intensity_at_surface_16
1,9644.88263214669,12776.9972218527,15604.8540603489,17077.9269120492,17606.7605537952,17992.3740915631,18598.6265786321,19447.9056589945,20302.239156101,21014.0129812069,21412.0417612365,21408.6907753195,20954.3648921684,20421.128419696,20150.6301458929,19708.7460574759
2,12165.540048434,15611.8263310804,17358.8266058017,17512.388925119,17316.4635614071,17417.1305687541,17997.7311647174,18999.1408489151,20086.2637376166,20951.4758697293,21124.9271137707,20790.0549855607,20500.2573976117,20313.3148802554,20173.0023620284,19540.9250872656
3,12794.6432940278,16173.2920343529,18222.8283022293,18574.9813902661,18470.860874559,18701.3670090472,19398.4437922914,20471.0264271026,21669.6212830966,22582.1588567672,22863.7461996524,22487.2750787129,21933.4179716569,21568.0705552212,21289.0329729435,20699.2121085006
4,10264.6152650185,13451.817002066,16117.3966925017,16993.9230886948,16921.5532202204,16976.319150348,17491.5463847158,18295.292458927,19146.8628199438,19724.878133987,19797.5533451916,19536.294423092,19127.5188337695,18758.7726611582,18500.817207396,18105.8106220709
5,10155.7008137088,13589.3938945174,16429.6610391214,18210.5542488337,19235.3042247861,19995.848001264,20828.9155980866,21756.0537400736,22797.8293089487,23791.484955402,24484.3225191394,24537.0955259667,23720.196161718,22404.5074907073,21336.6070900355,20380.0570060505
6,9860.90023018966,12392.3936224553,14498.0406688052,15555.4023857624,15812.2570175984,15821.9747504289,15935.1001828303,16200.624061796,16595.2995564503,17045.8846458217,17313.5932028402,17199.8254778664,16946.361792918,16784.5758562528,16635.6397995967,16244.9304870073
7,9887.87564877006,12916.9012694333,15943.6579434212,17323.4376945634,17610.3388612241,17883.9969202574,18599.5962094492,19598.6727367672,20507.9029417747,21160.2254158386,21284.1821641751,21010.3388178701,20422.5652776505,19812.5258533893,19568.4471727512,19374.9714150505
8,8907.85354079767,11931.6056800824,14047.1498710862,14579.1112234248,14499.3320598115,14545.7853120085,14822.4885472354,15207.2639919985,15542.323079296,15838.0356580545,16180.1591454414,16366.9116816844,16087.047440519,15764.0990981966,15773.5552948203,15419.1992421198
9,10286.6593101204,13463.909044681,15735.8917856665,16518.4128753801,16749.0881718423,17070.6857227886,17631.6416021079,18308.3708153314,18879.5333511706,19138.5412296666,19087.8292834527,18892.2064790822,18667.5468356353,18325.9194218527,17832.6050284213,17145.9849096118
10,11548.2039140341,13772.6679006833,14582.6115865604,14976.6028614995,15391.737402873,15857.4948576741,16366.113934657,16937.7017596243,17385.3284348839,17562.1562166643,17529.6332696517,17110.7985352942,16559.6094194934,16136.2331559623,15873.0025287208,15163.0460098952
11,9754.50220738953,12757.0973717731,15345.3103416002,16499.6385024466,16796.795456779,17151.6455238326,17861.7608471782,18779.59215513,19683.1817427698,20381.7425353257,20691.0224064072,20490.0456608671,20008.1690795696,19490.880965546,19251.796817604,18709.5991199918
12,12646.5425536565,15994.4978264614,18180.2973523703,18971.2512328087,19354.083731209,20051.6946059198,21130.4196976512,22530.4851858092,23999.2778979392,25170.8561077303,25599.3287514333,25204.6170957853,24450.5113525959,23732.5501174073,23166.0663174664,22280.0872157473
13,10088.2995272946,13616.0569810169,15923.2307198385,16721.3714282306,17156.410905536,17687.1290290941,18370.4848882489,19079.2626031138,19540.2870663411,19680.5752270412,19544.4569300791,19224.5192338872,18719.8125143932,18124.2572547483,17542.8434409896,16779.4040768816
14,9469.13548942851,12721.2690410822,15010.6640565072,16038.6245086765,16299.9970088712,16534.3667525671,17032.700965358,17705.1123594502,18351.5790403806,18792.5541212231,18945.2963531553,18792.1738063228,18354.6686191694,17851.5377265124,17466.4108634152,16879.397480877
15,11196.5714106453,14615.331993665,16839.6599116423,17429.379203741,17506.8028975482,17874.5686873246,18566.3006902746,19535.9530496853,20474.6517818276,21143.7050374812,21331.9594813858,21095.2854670712,20554.400836077,20026.1485572845,19664.9912071655,18977.8878894175
16,11237.6963452878,14753.1798491097,17085.6262702847,18109.9802379011,18662.0163626925,19280.1708272021,20149.4320878459,21188.8979922858,22228.9442950582,23025.4122597008,23449.6546477855,23299.2279915432,22605.7086162263,21803.1014979851,21220.0725960041,20547.9513003651
17,9998.26198139594,13350.6095588115,15973.3994827908,17204.2375216947,17542.4868138667,17798.7946735325,18205.2134958949,18927.1093880979,19694.152622011,20346.679027429,20766.7973104511,20711.536686154,20324.3089710601,19960.871218527,19888.3900783991,19523.3402794152
18,11110.9958158256,14815.9689647363,17787.0282790971,19054.2998751933,19447.0693440915,19930.964730858,20829.606614598,21976.2627993733,23164.8977947554,24167.8947536672,24470.0178689785,24107.8247565584,23299.5720943477,22686.8144099096,22335.592954495,21668.5483484873
19,10818.3290970802,13981.601636544,15866.2464140551,16442.4723941136,16562.2114486952,16871.6397903996,17413.2503443393,18105.3004814729,18788.5839023172,19367.5320715012,19725.3486001787,19763.1120567865,19415.1860021588,18905.5304871355,18524.3892557133,17818.5768464995
20,12860.1389360087,16316.5753714998,17635.3861156573,17436.6370977453,17119.6716010138,16998.4159093412,17236.4563923454,17666.9807595129,18198.710542745,18639.367966079,18832.5741244963,18970.9564108628,19271.1837124581,19588.4354572422,19529.3510807932,18855.8032164325
21,9960.19342708592,12459.3437205736,14748.8750441878,15859.612011375,16071.5309517391,16074.6573242173,16152.5216163038,16367.1579671381,16734.0260004087,17256.3750175469,17656.1504345793,17636.737759983,17268.12304098,16918.1869784081,16769.9977778957,16376.7518950445
22,8673.60056565713,11589.7840430635,14443.642517031,15644.6260670341,15735.1097154929,15746.0216592725,16022.8245324176,16534.2262517517,17089.884464543,17526.2484502637,17731.5122515285,17721.6618929387,17391.0808262534,17058.0037597831,16936.7815154801,16651.4418205186
23,12485.1962248463,15833.6033794403,17737.6663919226,18033.8365641003,17898.2061469209,18058.3939768268,18699.5165501868,19674.1632399586,20707.3729953293,21478.166435026,21612.3240070459,21243.0247756892,20886.70776036,20669.6403009893,20445.9680427127,19869.8221900204
24,12006.6355476519,15547.0983286007,17552.7956510978,18029.8582797684,18206.4722588618,18614.2929448135,19305.2540860819,20173.2027550062,20915.7192902904,21370.1597382858,21432.290734888,21004.4232093848,20295.0626727806,19663.8764894372,19305.941963856,18710.8392145979
25,10106.6292672139,13031.1305661816,14945.1262832024,15643.2766428247,15899.3096848943,16256.0602942024,16758.6298048491,17357.188674175,17860.0814943715,18202.1769175569,18311.3599189096,18126.919843285,17763.2366977777,17530.5751164497,17555.1614243048,17134.513487947
26,11943.6140629676,15142.0819769407,17278.2867255205,17853.5388281997,17990.7585443002,18412.5503921999,19258.1064349251,20358.1359192054,21369.3566202139,22131.8945128417,22387.1081433776,22032.3022002052,21360.2916241882,20777.9193668972,20465.477294623,20036.5431811149
27,10534.014457932,14033.621596061,16053.2340385743,16300.0975174916,16351.5136757732,16770.4917077488,17537.5586239414,18359.4137644317,19006.7917660118,19295.9144226444,19203.1190383827,18792.9015279456,18254.0985473707,17778.3770430178,17551.1721110293,17038.032849595
28,8809.94194816674,11960.4967019018,14775.5275168477,15654.5563864814,15645.2040954637,15739.6303787173,16123.3399823547,16738.9064449297,17427.7466683547,17956.333989785,18205.1980218665,18158.562994164,17764.2863836607,17308.1180553324,17203.3008022002,16916.2638390437
29,9864.70962680159,12834.5397327393,14977.4885033822,15811.9589992452,16053.9551608763,16385.6977809212,16991.1184084044,17696.5430994993,18348.4951650259,18720.36194982,18763.131155249,18517.5145411041,18103.7046284219,17791.5030302623,17734.1361424003,17347.1615988105
30,10703.9997898059,13454.8195398857,15634.8376843537,16244.8080436605,16122.5465320362,16042.3253995855,16217.3684897709,16665.9214047429,17257.7198070704,17868.7768885064,18367.8556856757,18671.2032118739,18684.3692216231,18523.9316011539,18135.1896113211,17563.5369239572
31,8322.39167711749,11358.5326876524,14464.0918554775,16068.2633654353,16545.1222314809,16828.2922930675,17347.7227588994,18076.0851144858,18815.2166165741,19349.9088967826,19453.1152748017,19061.1590016399,18405.0959051636,17783.4446447168,17501.3015552805,17104.095425484
32,13307.0575604579,16762.0616819516,18573.409709139,18847.291892004,18869.0509660057,19274.8181326498,20177.6749964055,21424.9840801562,22653.8693956911,23444.5673439331,23420.0377269068,22875.3912724479,22265.6448346543,21852.0862795663,21366.9267106658,20298.357018426
33,11234.0157831844,14596.9527277095,16648.9014463649,17231.7815164636,17558.4011978046,18211.4089125179,19193.8755437675,20308.7242313561,21251.0848541775,21828.1321973179,21907.55228533,21494.5847240953,20786.9202560607,20181.5943808278,19919.4321206944,19164.3212836767
34,11004.5608965068,14846.6063815121,17579.59327077,18082.2513123714,18018.2189956504,18422.3108392076,19302.4496285552,20290.5823804815,21054.6588693835,21631.5573808709,21643.8666475658,21234.2594680063,20784.8593808718,20569.0106974068,20488.8321866155,20083.0613969381
35,8771.11547572864,11540.5434450302,13648.7203719256,14371.1725256152,14522.6061940599,14815.820540405,15353.8526937349,15938.5650963724,16406.1677661449,16629.1281693825,16630.0569337776,16447.4110354414,16085.3891230914,15879.5798323102,16044.0105763759,15819.816786328
36,9230.30262709343,12796.0800328494,15683.3687836304,16850.3745555334,17268.8760022995,17748.0138081614,18472.2859574836,19284.8439358035,19986.9124889956,20457.0129713358,20594.8109628712,20381.6192674488,19920.432016227,19529.5510312147,19440.7062912707,18967.9441312327
37,10428.6869161839,12359.4646260934,14217.6453668159,15096.558080616,15413.1993543473,15570.0038905037,15660.1183501242,15861.1772858744,16250.1126833048,16706.2761866918,17004.6750772344,17079.1053739006,16978.5001522871,16808.8842856253,16623.0871496536,16051.8394133667
38,10021.3478593591,13168.2092077374,15493.7502721459,16209.3255093415,16436.2060331401,16869.5905978391,17565.2590446296,18342.6749217641,18947.5538282829,19225.9413920489,19135.669369336,18756.3682360699,18346.6288284872,18187.2432101368,18215.0490927623,17784.2782903217
39,10474.5354221638,13832.8297862046,16476.145415107,17410.1058953131,17608.3041833699,17923.9435111543,18575.6260491642,19458.9140697585,20294.7350393305,20867.7185431178,21093.5899205845,20847.5520420497,20340.7485382794,19854.2797444752,19652.8737428398,19308.0450918062
40,9044.72077352895,11514.2645687417,13725.1349870692,14754.4644344284,15068.2377466131,15132.2752836455,15229.5690482276,15520.1533911638,16068.5350093977,16737.5332667246,17382.22270041,17830.350291717,17863.1044991989,17581.8286554781,17277.0853592446,16587.920538912
41,10926.0905616916,14460.6946004446,17468.5946702844,19075.3123904662,19843.0378265339,20558.4073432756,21442.9105400656,22413.839902569,23363.4729762725,24253.6738619925,24853.3014918294,24815.7025182235,23988.1998149768,22690.4461062406,21701.53081327,20631.2875473701
42,10731.1924815547,14158.0820218643,16982.8711729121,18149.6185044778,18536.1814095389,19028.0896045184,19838.7841175425,20850.8260234198,21890.1251131169,22746.0727854009,23144.3681387618,22869.7698417738,22035.4589524135,21070.1337650565,20470.8901576375,19667.9448150257
43,11511.4603012726,15165.9750901762,17527.3065686753,18298.787103767,18486.4815816592,18856.9580274955,19638.1824317237,20696.4295327093,21816.2884029152,22655.2217688273,22954.9487897683,22622.732448459,21947.519091287,21374.7802394484,20946.5320035763,20344.6471925118
44,12636.0717933797,15609.3953054645,17369.6389321558,17857.8909773544,17800.3789370375,17761.4965915751,17891.9871387932,18231.0422663633,18463.1426697965,18567.0824904443,18723.4392344692,18799.8547472614,18884.1011891009,19076.8437883272,19056.559109524,18628.3372940953
45,9007.66437510776,12494.6666656419,15529.129673556,16944.9424871631,17471.0014287124,17996.1787334457,18721.6651265979,19546.7735073651,20184.1473591011,20490.2610191167,20490.2479215139,20239.4357054877,19770.4458261622,19254.3326664746,18962.4382196887,18576.5829659114
46,9866.93158456802,13223.6673037069,15442.2805160333,16238.1704280817,16518.6562285585,16882.644014781,17353.6366597575,17753.8412272397,17984.208018912,18060.0642302932,17988.6615999756,17728.4214518366,17503.766166401,17650.2126610233,17888.693835655,17476.1130917549
