region_names,intensity_at_surface_ 1,intensity_at_surface_ 2,intensity_at_surface_ 3,intensity_at_surface_ 4,intensity_at_surface_ 5,intensity_at_surface_ 6,intensity_at_surface_ 7,intensity_at_surface_ 8,intensity_at_surface_ 9,intensity_at_surface_10,intensity_at_surface_11,intensity_at_surface_12,intensity_at_surface_13,intensity_at_surface_14,intensity_at_surface_15,intensity_at_surface_16
L_V1_ROI,10137.5367526771,13797.7984644495,17013.6597472562,18779.6429401889,19635.5974610761,20374.4278882341,21132.9187861402,21734.527382879,22177.0612975909,22675.5298896266,23250.3894510829,23494.6695546514,22882.614438511,21527.5505932207,20562.168804157,19630.633613467
L_MST_ROI,13756.4403427604,17023.8869559689,18280.4695560989,18341.8795597118,18362.0824868495,18645.8816191432,19317.5392021017,20281.6433149297,21199.7001723541,21807.6578236651,21804.8801964598,21320.6006089102,20745.7035837387,20337.6349209196,19843.9290103736,18697.6309001734
L_V6_ROI,10379.5504576636,13611.1370026647,16040.2030273327,17169.1625140051,17801.0935056484,18532.6305219859,19555.2620650544,20706.1249080121,21786.5675511434,22477.9949675786,22699.6540434812,22442.1537844149,21712.5784047468,20812.3393393664,20159.146367216,19450.6381155669
L_V2_ROI,10867.4707950767,14245.6267789659,16947.9536219718,18375.2312812482,19039.2175076804,19604.50712418,20360.3796118143,21288.7845524123,22283.1595181451,23144.2610110209,23552.3865310674,23300.3158850406,22420.8519144719,21314.6363046119,20495.5607187381,19566.020134558
L_V3_ROI,10699.5965947902,14018.4427135203,16861.8058145174,18394.2031532487,19033.8598829012,19589.8811695867,20436.8456805454,21583.7961483054,22828.4472885507,23871.8121394803,24357.6341916059,24070.3932951158,23171.3350997267,22136.2141125854,21377.4784521118,20490.6689110091
L_V4_ROI,10899.6678613385,14215.3985158782,17032.5224144492,18217.2186146974,18617.7885905346,19108.5110462201,20020.7594299511,21338.5624679546,22762.7063243737,23877.071592406,24321.4660954561,23861.6805139182,22877.3580438964,21908.7476585908,21252.3949927077,20385.5952794335
L_V8_ROI,11928.8759446346,15210.6650154801,17601.2654908385,18574.8588771984,18963.9917010589,19597.4465399188,20611.3986819303,21994.1873863451,23523.8018563655,24895.3519832122,25634.089764539,25240.7991017218,24332.2616003564,23544.1143880336,22990.7829890913,22175.4408023375
L_4_ROI,10005.694657488,13238.6223995368,15924.6987083346,17197.9026877713,17787.5572698704,18266.993363664,18845.7180723248,19483.4164517583,19996.3852298201,20241.7170945915,20165.5440340215,19867.1778395369,19518.5022800482,19064.3713505414,18431.9955415307,17634.0611020641
L_3b_ROI,9220.78851111654,12193.5409524247,14923.6877685626,16680.7450820578,17649.6694447653,18409.471800084,19262.4305494781,20206.9964532129,21014.6241913315,21517.7563057551,21618.9489508772,21286.0111271619,20567.9847613696,19706.1729221638,19025.5852058879,18386.4126292404
L_FEF_ROI,10244.7198739567,13517.1586606855,14909.8820165111,15297.934807617,15721.3613358734,16255.5808169072,16874.6526462994,17416.1550286748,17747.4185799931,17913.8181780108,17914.9955675148,17749.7783892817,17478.7810596708,17145.5041567433,16707.6212646226,16012.6870531721
