trial_num,stimulus_1,stimulus_2,sim_index,occurrence,condition
1,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/goldfish.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/kite.jpg,0.1562787,"1,49",E
2,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/baboon.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/bathtub.jpg,0.11772608,2,D
3,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/guitar.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/purse.jpg,,"3,21",E
4,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/badger.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/broccoli.jpg,0.0029160539,4,D
5,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/hat.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/turkey.jpg,0.01246246,"5,30",E
6,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/horse.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/lock.jpg,0.10693524,"6,33",E
7,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/banana.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/zipper.jpg,0.051179826,7,D
8,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/keys.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/razor.jpg,0.012765291,"8,24",E
9,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/bat.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/yak.jpg,0.29642293,9,D
10,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/lamp.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/rake.jpg,0.0062292954,"10,55",E
11,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/lemon.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/mailbox.jpg,0.030352334,"11,32",E
12,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/lion.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/muffin.jpg,0.0145653775,"12,14",E
13,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/beans.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/whistle.jpg,0.015483802,13,D
14,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/lion.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/muffin.jpg,0.0145653775,"12,14",E
15,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/bed.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/xylophone.jpg,0.09949767,15,D
16,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/octopus.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/phone.jpg,0.010752911,"16,26",E
17,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/belt.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/wallet.jpg,0.15862466,17,D
18,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/bottle.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/vacuum.jpg,0.1221807,18,D
19,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/panda.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/shorts.jpg,0.04357282,"19,67",E
20,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/parrot.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/scissors.jpg,0.08862923,"20,64",E
21,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/guitar.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/purse.jpg,,"3,21",E
22,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cake.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/yacht.jpg,0.046526473,22,D
23,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/pickle.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/barbell.jpg,0.07269481,"23,45",E
24,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/keys.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/razor.jpg,0.012765291,"8,24",E
25,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/camel.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/violin.jpg,0.07878832,25,D
26,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/octopus.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/phone.jpg,0.010752911,"16,26",E
27,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/pizza.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/bone.jpg,0.06875436,"27,65",E
28,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/popcorn.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cactus.jpg,0.26068768,"28,41",E
29,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/pot.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cymbals.jpg,0.17872724,"29,68",E
30,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/hat.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/turkey.jpg,0.01246246,"5,30",E
31,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/salmon.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/earth.jpg,0.0042214394,"31,50",E
32,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/lemon.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/mailbox.jpg,0.030352334,"11,32",E
33,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/horse.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/lock.jpg,0.10693524,"6,33",E
34,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/sandal.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/heart.jpg,0.0069233323,"34,47",E
35,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/sandwich.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/bracelet.jpg,0.06400789,"35,79",E
36,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/camera.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/vulture.jpg,0.022930749,36,D
37,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/saw.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/box.jpg,0.0018727278,"37,44",E
38,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/carrot.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/trumpet.jpg,0.053722844,38,D
39,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/celery.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/swan.jpg,0.12507635,39,D
40,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/chair.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/pumpkin.jpg,0.04719385,40,D
41,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/popcorn.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cactus.jpg,0.26068768,"28,41",E
42,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/shackles.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/anchor.jpg,0.23894045,"42,63",E
43,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/skis.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/wool.jpg,0.14919975,"43,76",E
44,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/saw.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/box.jpg,0.0018727278,"37,44",E
45,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/pickle.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/barbell.jpg,0.07269481,"23,45",E
46,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/snail.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/vest.jpg,0.051109236,"46,73",E
47,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/sandal.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/heart.jpg,0.0069233323,"34,47",E
48,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cheese.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/towel.jpg,0.17269424,48,D
49,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/goldfish.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/kite.jpg,0.1562787,"1,49",E
50,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/salmon.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/earth.jpg,0.0042214394,"31,50",E
51,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/squirrel.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/treadmill.jpg,0.01855253,"51,77",E
52,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cheetah.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/sock.jpg,0.031779803,52,D
53,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/comb.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/pig.jpg,0.0474263,53,D
54,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/cookie.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/rose.jpg,0.04078376,54,D
55,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/lamp.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/rake.jpg,0.0062292954,"10,55",E
56,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/corkscrew.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/suitcase.jpg,0.15196244,56,D
57,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/starfish.jpg,tasks/episodic/Episodic_Encoding_symbolic/Episodic_Encoding_ListA/umbrella.jpg,0.03347347,"57,66",E
