trial_number,prime,target,dist1,dist2,episodic_category,list_AB
1,apple,flute,towel,bear,1.00,A
2,ball,vanilla,scissors,theme,1.00,A
3,bean,velvet,ambulance,champagne,1.00,A
4,bee ,curtain,gloves,leaf,1.00,A
5,blouse,problem,eyes,turtle,1.00,A
6,bomb,bucket,frog,robe,1.00,A
7,castle,valve,judge,cuff,1.00,A
8,chair,tweezers,strawberry,mushroom,1.00,A
9,chocolate,siren,graveyard,starch,1.00,A
10,doll,teapot,mailbox,sentence,1.00,A
11,door,mole,game,dawn,1.00,A
12,god,shears,shell,barn,1.00,A
13,hammer,carrots,robe,jigsaw,1.00,A
14,heaven,mosquito,ranch,mailbox,1.00,A
15,horse,gear,brain,snorkel,1.00,A
16,insect,typewriter,wind,bus,1.00,A
17,jail,pearl,scalpel,screw,1.00,A
18,lawn,shower,zenith,oath,1.00,A
19,leaves,gift,blood,soup,1.00,A
20,lemon,lice,jumper,star,1.00,A
21,lettuce,landscape,mail,piano,1.00,A
22,light,blender,threat,circle,1.00,A
23,monkey,rhythm,bun,leather,1.00,A
24,nail,axe,bullet,farm,1.00,A
25,paper,whale,clippers,coffin,1.00,A
26,past,proof,octopus,sandwich,1.00,A
27,pill,cake,gate,lamb,1.00,A
28,plan,hole,soup,box,1.00,A
29,plate,lip,sweet,scissors,1.00,A
30,puzzle,dice,juice,topping,1.00,A
31,rock,hair,protein,legend,1.00,A
32,rope,sky,plum,bear,1.00,A
33,salad,mission,pint,patio,1.00,A
34,saw,skunk,throat,temple,1.00,A
35,smoke,violin,portion,mirror,1.00,A
36,sting,olive,mirror,slice,1.00,A
37,stone,paw ,couch,fruit,1.00,A
38,string,moat,furniture,chicken,1.00,A
39,wallet,wicker,roast,pawn,1.00,A
40,wax,steak,bun,portion,1.00,A
41,armour,umbrella,cow,cheese,2.00,A
42,car,potato,boat,clam,2.00,A
43,carpet,prison,purse,stool,2.00,A
44,cheddar,flame,sprain,nightmare,2.00,A
45,circus,cravat,miner,safari,2.00,A
46,date,celery,drape,diesel,2.00,A
47,day,horizon,tutu,rabbit,2.00,A
48,dress,branch,bug,opener,2.00,A
49,fork,cob,computer,puppet,2.00,A
50,grass,stethoscope,printer,finger,2.00,A
51,honey,shield,nightmare,elk,2.00,A
52,hound,cloak,radio,almond,2.00,A
53,ice,loaf,rat,reason,2.00,A
54,knife,crayon,solution,funnel,2.00,A
55,ladder,grill,scoop,shed,2.00,A
56,lock,king,weed,pal,2.00,A
57,milk,inch,lion,cane,2.00,A
58,mountain,oregano,calf,marble,2.00,A
59,mouth,waves,dish,penny,2.00,A
60,mud,folder,braces,lime,2.00,A
61,night,granite,kidney,saucer,2.00,A
62,note,jam,handbag,chess,2.00,A
63,nut,statue,cabbage,gnat,2.00,A
64,painter,kettle,syrup,cello,2.00,A
65,planet,needle,pan,bug,2.00,A
66,pond,update,juggler,rat,2.00,A
67,rain,mayonnaise,wick,section,2.00,A
68,shampoo,pleat,trust,coffee,2.00,A
69,ship,thorn,snot,venom,2.00,A
70,shoe,vessel,knee,talon,2.00,A
71,shrimp,candy,film,brick,2.00,A
72,sleep,wagon,spice,statue,2.00,A
73,soap,fuel,giraffe,jacket,2.00,A
74,song,camel,arrow,handbag,2.00,A
75,stereo,steel,mower,tick,2.00,A
76,sugar,crown,nickel,station,2.00,A
77,table,candle,track,spray,2.00,A
78,travel,butcher,train,syrup,2.00,A
79,wine,highway,mussel,trousers,2.00,A
80,wool,blackboard,positive,chain,2.00,A
81,xxxx,xxxx,xxxx,xxxx,0.00,A
82,xxxx,xxxx,xxxx,xxxx,0.00,A
83,xxxx,xxxx,xxxx,xxxx,0.00,A
84,xxxx,xxxx,xxxx,xxxx,0.00,A
85,xxxx,xxxx,xxxx,xxxx,0.00,A
86,xxxx,xxxx,xxxx,xxxx,0.00,A
87,xxxx,xxxx,xxxx,xxxx,0.00,A
88,xxxx,xxxx,xxxx,xxxx,0.00,A
89,xxxx,xxxx,xxxx,xxxx,0.00,A
90,xxxx,xxxx,xxxx,xxxx,0.00,A
91,xxxx,xxxx,xxxx,xxxx,0.00,A
92,xxxx,xxxx,xxxx,xxxx,0.00,A
93,xxxx,xxxx,xxxx,xxxx,0.00,A
94,xxxx,xxxx,xxxx,xxxx,0.00,A
95,xxxx,xxxx,xxxx,xxxx,0.00,A
96,xxxx,xxxx,xxxx,xxxx,0.00,A
97,xxxx,xxxx,xxxx,xxxx,0.00,A
98,xxxx,xxxx,xxxx,xxxx,0.00,A
99,xxxx,xxxx,xxxx,xxxx,0.00,A
100,xxxx,xxxx,xxxx,xxxx,0.00,A
