trial_number,prime,target,dist1,dist2,episodic_category,list_AB
1,accordion.jpg,bagpipes.jpg,bench.jpg,bowling ball.jpg,1,A
2,acron.jpg,ballet shoes.jpg,binoculars.jpg,bowtie.jpg,1,A
3,anchor.jpg,banjo.jpg,bird.jpg,box.jpg,1,A
4,angels.jpg,barbeque.jpg,blackberry.jpg,box_ring.jpg,1,A
5,ant.jpg,barge.jpg,blackboard.jpg,braces.jpg,1,A
6,apron.jpg,barrel.jpg,blender.jpg,bread.jpg,1,A
7,aquarium.jpg,basketball.jpg,blouse.jpg,bread roll.jpg,1,A
8,ashtray.jpg,bat.jpg,blueberry.jpg,broccoli.jpg,1,A
9,aubergine.jpg,battery.jpg,boots.jpg,budgie.jpg,1,A
10,bagel.jpg,bell.jpg,bowler hat.jpg,bulb.jpg,1,A
