trial_number,prime,target,dist1,dist2,semstr,semstr_category,list_AB
1,apple,plum,toy,hole,0.05,1,A
2,ball,glove,ant,mailbox,0.01,1,A
3,bean,vanilla,shelter,deck,0.02,1,A
4,bee ,ant,strawberry,backpack,0.02,1,A
5,blouse,sleeve,towel,patio,0.01,1,A
6,bomb,timer,bracelet,honey,0.01,1,A
7,castle,throne,van,flute,0.02,1,A
8,chair,swing,tomato,litre,0.03,1,A
9,chocolate,mint,noodles,shape,0.05,1,A
10,doll,toy,bagel,protein,0.09,1,A
11,door,gate,sphinx,morning,0.08,1,A
12,god,temple,lamb,knocker,0.06,1,A
13,hammer,screw,ivy,heel,0.03,1,A
14,heaven,harp,furniture,pint,0.03,1,A
15,horse,whip,apron,moat,0.03,1,A
16,insect,maggot,shears,syringe,0.05,1,A
17,jail,cuff,sandwich,appliance,0.02,1,A
18,lawn,patio,loft,teapot,0.01,1,A
19,leaves,ivy,bass,toy,0.01,1,A
20,lemon,slice,knocker,cubicle,0.01,1,A
21,lettuce,sandwich,hair,siren,0.04,1,A
22,light,wick,sharpener,cuff,0.01,1,A
23,monkey,cage,slice,feather,0.01,1,A
24,nail,coffin,slice,pawn,0.01,1,A
25,paper,trash,hare,ant,0.01,1,A
26,past,legend,topping,claw ,0.01,1,A
27,pill,protein,gown,tomato,0.02,1,A
28,plan,mission,suit,coffin,0.01,1,A
29,plate,napkin,sea,mitten,0.03,1,A
30,puzzle,piece,biscuit,siren,0.01,1,A
31,rock,jewel,hope,camel,0.01,1,A
32,rope,swing,scalpel,shovel,0.01,1,A
33,salad,crab,pawn,slice,0.01,1,A
34,saw,axe,cabin,giraffe,0.02,1,A
35,smoke,flame,tune,lobster,0.01,1,A
36,sting,mosquito,tune,harvest,0.01,1,A
37,stone,kidney,morning,bench,0.05,1,A
38,string,bow,wheat,trash,0.05,1,A
39,wallet,pouch,appliance,kite,0.01,1,A
40,wax,polish,ranch,cabin,0.14,1,A
41,armour,shield,pear,film,0.22,2,A
42,car,bumper,weed,saucer,0.65,2,A
43,carpet,rug,mule,hinge,0.47,2,A
44,cheddar,cheese,puppet,astronaut,0.92,2,A
45,circus,juggler,hog,tortoise,0.36,2,A
46,date,calendar,cane,signature,0.23,2,A
47,day,night,television,cradle,0.69,2,A
48,dress,gown,celery,venom,0.35,2,A
49,fork,knife,acorn,grape,0.33,2,A
50,grass,weed,handbag,bath,0.45,2,A
51,honey,bee,saucer,cloak,0.22,2,A
52,hound,fox,keg,sharpener,0.21,2,A
53,ice,igloo,cigar,cork,0.29,2,A
54,knife,dagger,suds,melody,0.61,2,A
55,ladder,rung,sirloin,mask,0.26,2,A
56,lock,key,jigsaw,oar,0.26,2,A
57,milk,cow,wasp,salt,0.35,2,A
58,mountain,hill,church,update,0.43,2,A
59,mouth,tongue,train,reel,0.38,2,A
60,mud,puddle,tablet,bug,0.2,2,A
61,night,owl,almond,tea,0.31,2,A
62,note,message,rodent,dagger,0.26,2,A
63,nut,almond,feathers,mask,0.34,2,A
64,painter,artist,mattress,section,0.44,2,A
65,planet,jupiter,chisel,wagon,0.47,2,A
66,pond,duck,almond,hurt,0.24,2,A
67,rain,umbrella,gorilla,stamp,0.7,2,A
68,shampoo,conditioner,beaver,suede,0.46,2,A
69,ship,vessel,amethyst,wardrobe ,0.35,2,A
70,shoe,slippers,custard,celery,0.63,2,A
71,shrimp,seafood,gravy,mattress,0.25,2,A
72,sleep,nap,page,butcher,0.52,2,A
73,soap,suds,chair,atom,0.6,2,A
74,song,melody,dagger,waves,0.41,2,A
75,stereo,radio,cookie,arrow,0.2,2,A
76,sugar,cane,tone,vein,0.27,2,A
77,table,chair,web,chain,0.31,2,A
78,travel,luggage,thorn,telescope,0.21,2,A
79,wine,cork,seafood,sand,0.52,2,A
80,wool,sheep,pane,snot,0.29,2,A
81,xxxx,xxxx,xxxx,xxxx,0,0,A
82,xxxx,xxxx,xxxx,xxxx,0,0,A
83,xxxx,xxxx,xxxx,xxxx,0,0,A
84,xxxx,xxxx,xxxx,xxxx,0,0,A
85,xxxx,xxxx,xxxx,xxxx,0,0,A
86,xxxx,xxxx,xxxx,xxxx,0,0,A
87,xxxx,xxxx,xxxx,xxxx,0,0,A
88,xxxx,xxxx,xxxx,xxxx,0,0,A
89,xxxx,xxxx,xxxx,xxxx,0,0,A
90,xxxx,xxxx,xxxx,xxxx,0,0,A
91,xxxx,xxxx,xxxx,xxxx,0,0,A
92,xxxx,xxxx,xxxx,xxxx,0,0,A
93,xxxx,xxxx,xxxx,xxxx,0,0,A
94,xxxx,xxxx,xxxx,xxxx,0,0,A
95,xxxx,xxxx,xxxx,xxxx,0,0,A
96,xxxx,xxxx,xxxx,xxxx,0,0,A
97,xxxx,xxxx,xxxx,xxxx,0,0,A
98,xxxx,xxxx,xxxx,xxxx,0,0,A
99,xxxx,xxxx,xxxx,xxxx,0,0,A
100,xxxx,xxxx,xxxx,xxxx,0,0,A
