trial_number,prime,target,semstr_category,semstr,dist1,dist2,list_AB,semantic_trials_loop.thisRepN,semantic_trials_loop.thisTrialN,semantic_trials_loop.thisN,semantic_trials_loop.thisIndex,Trial_start,Position1,Position2,Position3,key_response.keys,key_response.corr,Fixation duration,key_response.rt,wordlist,participant,session,frameRate,expName,date,
34,saw,axe,1,0.02,cabin,giraffe,A,0,0,0,33,2.14576721191e-06,0,-0.5,0.5,None,0,2.5,,A,,001,60.1315802678,Semantic_Task,2017_Oct_03_0103,
9,chocolate,mint,1,0.05,noodles,shape,A,0,1,1,8,6.47229599953,-0.5,0,0.5,None,0,2.5,,A,,001,60.1315802678,Semantic_Task,2017_Oct_03_0103,
36,sting,mosquito,1,0.01,tune,harvest,A,0,2,2,35,12.9574081898,-0.5,0.5,0,None,0,1.5,,A,,001,60.1315802678,Semantic_Task,2017_Oct_03_0103,
100,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,3,3,99,18.4446229935,-0.5,0.5,0,None,0,2.5,,A,,001,60.1315802678,Semantic_Task,2017_Oct_03_0103,
26,past,legend,1,0.01,topping,claw ,A,0,4,4,25,24.9291851521,-0.5,0,0.5,None,0,1.5,,A,,001,60.1315802678,Semantic_Task,2017_Oct_03_0103,
15,horse,whip,1,0.03,apron,moat,A,0,5,5,14,30.416806221,-0.5,0,0.5,None,0,3.5,,A,,001,60.1315802678,Semantic_Task,2017_Oct_03_0103,
8,chair,swing,1,0.03,tomato,litre,A,0,6,6,7,37.899695158,0.5,-0.5,0,None,0,1.5,,A,,001,60.1315802678,Semantic_Task,2017_Oct_03_0103,
73,soap,suds,2,0.6,chair,atom,A,0,7,7,72,43.3872010708,0,0.5,-0.5,None,0,2.0,,A,,001,60.1315802678,Semantic_Task,2017_Oct_03_0103,
37,stone,kidney,1,0.05,morning,bench,A,0,8,8,36,49.3737571239,0,0.5,-0.5,None,0,3.0,,A,,001,60.1315802678,Semantic_Task,2017_Oct_03_0103,
25,paper,trash,1,0.01,hare,ant,A,0,9,9,24,56.3571941853,-0.5,0,0.5,None,0,1.5,,A,,001,60.1315802678,Semantic_Task,2017_Oct_03_0103,
40,wax,polish,1,0.14,ranch,cabin,A,0,10,10,39,61.844337225,0.5,-0.5,0,None,0,2.5,,A,,001,60.1315802678,Semantic_Task,2017_Oct_03_0103,
27,pill,protein,1,0.02,gown,tomato,A,0,11,11,26,68.3296411037,0.5,0,-0.5,None,0,3.0,,A,,001,60.1315802678,Semantic_Task,2017_Oct_03_0103,
89,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,12,12,88,75.3131501675,0.5,0,-0.5,3,0,2.5,3.22839903831,A,,001,60.1315802678,Semantic_Task,2017_Oct_03_0103,
95,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,13,13,94,81.7980940342,0.5,0,-0.5,None,0,1.5,,A,,001,60.1315802678,Semantic_Task,2017_Oct_03_0103,
