trial_number,prime,target,semstr_category,semstr,dist1,dist2,list_AB,semantic_trials_loop.thisRepN,semantic_trials_loop.thisTrialN,semantic_trials_loop.thisN,semantic_trials_loop.thisIndex,Trial_start,Position1,Position2,Position3,key_response.keys,key_response.corr,Fixation duration,wordlist,participant,session,frameRate,expName,date,
84,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,0,0,83,3.09944152832e-06,-0.5,0.5,0,None,0,2.0,A,,001,60.1138267546,Semantic_Task,2017_Oct_23_1427,
26,past,legend,1,0.01,topping,claw ,A,0,1,1,25,5.98052716255,-0.5,0.5,0,None,0,3.0,A,,001,60.1138267546,Semantic_Task,2017_Oct_23_1427,
82,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,2,2,81,12.9641621113,-0.5,0,0.5,None,0,3.5,A,,001,60.1138267546,Semantic_Task,2017_Oct_23_1427,
56,lock,key,2,0.26,jigsaw,oar,A,0,3,3,55,20.4468781948,0.5,-0.5,0,None,0,2.5,A,,001,60.1138267546,Semantic_Task,2017_Oct_23_1427,
44,cheddar,cheese,2,0.92,puppet,astronaut,A,0,4,4,43,26.9319710732,0.5,-0.5,0,None,0,3.5,A,,001,60.1138267546,Semantic_Task,2017_Oct_23_1427,
9,chocolate,mint,1,0.05,noodles,shape,A,0,5,5,8,34.4148280621,-0.5,0,0.5,None,0,2.5,A,,001,60.1138267546,Semantic_Task,2017_Oct_23_1427,
8,chair,swing,1,0.03,tomato,litre,A,0,6,6,7,40.9000110626,0.5,-0.5,0,None,0,2.0,A,,001,60.1138267546,Semantic_Task,2017_Oct_23_1427,
81,xxxx,xxxx,0,0.0,xxxx,xxxx,A,0,7,7,80,46.8861751556,-0.5,0.5,0,None,0,2.0,A,,001,60.1138267546,Semantic_Task,2017_Oct_23_1427,
29,plate,napkin,1,0.03,sea,mitten,A,0,8,8,28,52.8724491596,-0.5,0.5,0,None,0,3.0,A,,001,60.1138267546,Semantic_Task,2017_Oct_23_1427,
80,wool,sheep,2,0.29,pane,snot,A,0,9,9,79,59.8562190533,0.5,-0.5,0,None,0,3.5,A,,001,60.1138267546,Semantic_Task,2017_Oct_23_1427,
