trial_num,stimulus_1,stimulus_2,stimulus_3,condition
1,tasks/spatial/Spatial_symbolic/Spatial_ListA/well.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/yogurt.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/yoyo.jpg,D
2,tasks/spatial/Spatial_symbolic/Spatial_ListA/weasel.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/walker.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/binoculars.jpg,D
3,tasks/spatial/Spatial_symbolic/Spatial_ListA/trowel.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/vines.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/weel.jpg,E
4,tasks/spatial/Spatial_symbolic/Spatial_ListA/toolbox.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/unicycle.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/urn.jpg,E
5,tasks/spatial/Spatial_symbolic/Spatial_ListA/sword.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/plants.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/telescope.jpg,E
6,tasks/spatial/Spatial_symbolic/Spatial_ListA/stingray.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/termite.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/tomato.jpg,D
7,tasks/spatial/Spatial_symbolic/Spatial_ListA/stapler.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/tortilla.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/tube.jpg,D
8,tasks/spatial/Spatial_symbolic/Spatial_ListA/seahorse.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/taco.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/tag.jpg,D
9,tasks/spatial/Spatial_symbolic/Spatial_ListA/sailfish.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/saturn.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/sunglasses.jpg,D
10,tasks/spatial/Spatial_symbolic/Spatial_ListA/rifle.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/bench.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/cane.jpg,E
11,tasks/spatial/Spatial_symbolic/Spatial_ListA/pyjamas.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/ratchet.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/ruby.jpg,E
12,tasks/spatial/Spatial_symbolic/Spatial_ListA/orca.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/parka.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/quartz.jpg,D
13,tasks/spatial/Spatial_symbolic/Spatial_ListA/nautilus.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/net.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/pancakes.jpg,E
14,tasks/spatial/Spatial_symbolic/Spatial_ListA/monkey.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/onion.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/moose.jpg,E
15,tasks/spatial/Spatial_symbolic/Spatial_ListA/money.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/mongoose.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/motorcycle.jpg,E
16,tasks/spatial/Spatial_symbolic/Spatial_ListA/melon.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/otter.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/olives.jpg,E
17,tasks/spatial/Spatial_symbolic/Spatial_ListA/mandolin.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/medal.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/millipede.jpg,E
18,tasks/spatial/Spatial_symbolic/Spatial_ListA/lentils.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/napkin.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/mat.jpg,E
19,tasks/spatial/Spatial_symbolic/Spatial_ListA/leash.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/owl.jpg,tasks/spatial/Spatial_symbolic/Spatial_ListA/marshmallow.jpg,D
